"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"53",0,0,0,14,14,0,12,12,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,41,40,1,18,18,0
"54",1,1,0,1,1,0,1,1,0,0,0,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,13,12,1,13,13,0
"55",0,0,0,7,7,0,7,7,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,1,3,3,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,2,2,2,0
"57",1,1,0,0,0,0,1,1,0,3,3,0,1,1,0,1,1,0,5,5,0,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,9,9,0,4,4,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,4,0,0,0
"59",31,31,0,33,31,2,20,19,1,0,0,0,27,27,0,28,28,0,12,12,0,28,28,0,31,31,0,28,28,0,31,31,0,0,0,0,28,28,0,16,16,0,36,35,1
"60",9,9,0,11,11,0,13,13,0,3,3,0,11,10,1,13,12,1,5,5,0,8,8,0,8,8,0,8,8,0,6,6,0,0,0,0,8,8,0,19,17,2,13,13,0
"61",32,30,2,32,31,1,26,25,1,11,10,1,14,13,1,0,0,0,1,1,0,32,30,2,32,30,2,32,30,2,30,29,1,0,0,0,32,30,2,49,48,1,49,49,0
"62",9,9,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9,0,9,9,0,12,12,0,0,0,0,9,9,0,14,13,1,18,18,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"64",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0
"65",0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,11,11,0
"66",124,122,2,142,136,6,141,135,6,77,73,4,113,110,3,110,107,3,49,48,1,103,101,2,120,118,2,103,101,2,121,120,1,59,55,4,103,101,2,144,140,4,115,111,4
"67",1,1,0,7,7,0,8,8,0,13,11,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,6,6,0,0,0,0,1,1,0,13,13,0,11,11,0
"68",8,8,0,6,6,0,5,5,0,0,0,0,6,6,0,6,6,0,0,0,0,8,8,0,8,8,0,8,8,0,5,5,0,0,0,0,8,8,0,10,10,0,12,12,0
"69",16,16,0,12,12,0,6,6,0,2,2,0,11,11,0,14,14,0,1,1,0,16,16,0,16,16,0,16,16,0,12,12,0,0,0,0,16,16,0,26,26,0,19,19,0
"70",0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,5,5,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,16,16,0
"71",3,3,0,1,1,0,1,1,0,1,1,0,9,9,0,7,7,0,0,0,0,3,3,0,3,3,0,3,3,0,5,5,0,0,0,0,3,3,0,33,31,2,20,20,0
"72",7,7,0,25,24,1,24,23,1,19,18,1,9,9,0,1,1,0,1,1,0,8,8,0,8,8,0,8,8,0,10,10,0,0,0,0,8,8,0,27,27,0,14,14,0
"73",10,10,0,21,19,2,20,18,2,6,6,0,11,10,1,12,11,1,8,8,0,10,10,0,10,10,0,10,10,0,12,11,1,0,0,0,10,10,0,32,31,1,28,25,3
"74",39,38,1,15,15,0,9,9,0,2,2,0,31,30,1,36,35,1,23,23,0,36,35,1,40,39,1,36,35,1,44,42,2,0,0,0,36,35,1,69,66,3,50,50,0
"75",82,80,2,81,78,3,73,70,3,22,22,0,71,69,2,65,64,1,44,44,0,74,72,2,76,74,2,73,71,2,67,65,2,0,0,0,73,71,2,51,51,0,86,84,2
"76",0,0,0,2,2,0,6,6,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14,14,0,0,0,0
"77",81,80,1,60,58,2,63,60,3,25,24,1,41,39,2,32,31,1,3,3,0,67,66,1,73,72,1,67,66,1,69,68,1,0,0,0,67,66,1,82,75,7,86,85,1
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,7,0,0,0,0
"80",5,5,0,8,8,0,8,8,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,4,4,0,3,3,0,0,0,0,4,4,0,8,8,0,13,13,0
"81",21,21,0,5,5,0,6,6,0,6,6,0,11,10,1,8,7,1,2,1,1,3,3,0,7,7,0,3,3,0,22,22,0,0,0,0,3,3,0,6,6,0,35,35,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1,0,0,0
"83",21,21,0,25,25,0,0,0,0,4,4,0,26,26,0,24,24,0,13,13,0,21,21,0,21,21,0,21,21,0,19,19,0,0,0,0,21,21,0,48,48,0,33,33,0
"84",0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,7,7,0
"85",12,12,0,7,6,1,5,4,1,0,0,0,20,20,0,23,23,0,12,12,0,11,11,0,12,12,0,11,11,0,10,10,0,0,0,0,11,11,0,26,26,0,20,20,0
"86",5,5,0,7,7,0,5,5,0,3,3,0,7,7,0,17,16,1,12,10,2,5,5,0,5,5,0,5,5,0,0,0,0,0,0,0,5,5,0,21,19,2,22,21,1
"87",2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,21,19,2,2,2,0
"88",0,0,0,0,0,0,4,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",23,23,0,13,13,0,13,13,0,0,0,0,23,23,0,17,17,0,5,5,0,19,19,0,19,19,0,19,19,0,31,31,0,27,25,2,19,19,0,43,43,0,29,29,0
"90",37,36,1,24,24,0,17,17,0,3,3,0,14,14,0,3,3,0,1,1,0,35,34,1,35,34,1,35,34,1,37,35,2,0,0,0,35,34,1,27,27,0,36,34,2
"91",1,1,0,7,7,0,6,6,0,0,0,0,7,7,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,42,39,3,0,0,0
"92",11,11,0,9,9,0,8,8,0,0,0,0,11,11,0,10,10,0,0,0,0,11,11,0,11,11,0,11,11,0,9,9,0,0,0,0,11,11,0,4,4,0,18,18,0
"93",0,0,0,0,0,0,3,3,0,4,4,0,4,4,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37,4,0,0,0
"94",9,9,0,5,5,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9,0,9,9,0,8,8,0,0,0,0,9,9,0,13,13,0,5,5,0
"95",9,9,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9,0,9,9,0,0,0,0,0,0,0,9,9,0,27,25,2,7,7,0
"96",0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,5,3,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,2,0,0,0
"97",11,11,0,12,12,0,13,13,0,12,12,0,3,3,0,3,3,0,0,0,0,9,9,0,9,9,0,9,9,0,13,13,0,0,0,0,9,9,0,22,21,1,15,14,1
"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0
"99",24,24,0,19,19,0,25,25,0,1,1,0,40,40,0,55,55,0,17,15,2,25,25,0,25,25,0,25,25,0,31,31,0,0,0,0,25,25,0,46,46,0,66,66,0
"100",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,10,8,2,0,0,0
"101",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"102",10,10,0,4,4,0,3,3,0,0,0,0,20,18,2,24,20,4,8,6,2,8,8,0,8,8,0,8,8,0,8,8,0,0,0,0,8,8,0,34,33,1,49,48,1
"103",2,2,0,9,9,0,16,16,0,2,2,0,4,4,0,5,5,0,8,8,0,2,2,0,2,2,0,2,2,0,11,11,0,0,0,0,2,2,0,32,31,1,17,17,0
"104",15,15,0,4,4,0,2,2,0,2,2,0,24,24,0,23,23,0,10,10,0,16,16,0,16,16,0,9,9,0,9,9,0,0,0,0,9,9,0,23,23,0,24,24,0
"105",0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,0
"106",10,10,0,12,12,0,12,12,0,6,5,1,7,7,0,7,7,0,3,3,0,10,10,0,10,10,0,10,10,0,12,12,0,20,18,2,10,10,0,16,16,0,15,15,0
"107",47,47,0,42,42,0,43,43,0,13,13,0,42,42,0,48,48,0,0,0,0,45,45,0,46,46,0,45,45,0,43,43,0,57,54,3,45,45,0,69,69,0,58,58,0
"108",37,35,2,35,34,1,17,16,1,1,1,0,31,30,1,40,39,1,23,23,0,28,27,1,28,27,1,28,27,1,40,38,2,0,0,0,28,27,1,68,65,3,48,45,3
"109",11,11,0,34,34,0,35,35,0,5,5,0,29,28,1,21,20,1,31,30,1,11,11,0,11,11,0,11,11,0,17,17,0,0,0,0,11,11,0,52,52,0,23,23,0
"110",7,7,0,20,18,2,17,16,1,12,11,1,1,1,0,0,0,0,0,0,0,7,7,0,7,7,0,7,7,0,7,7,0,0,0,0,7,7,0,8,7,1,9,8,1
"111",0,0,0,1,1,0,1,1,0,6,6,0,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,1,1,0
"112",21,19,2,5,5,0,8,8,0,2,2,0,20,18,2,19,17,2,2,2,0,6,6,0,20,18,2,6,6,0,15,14,1,0,0,0,10,10,0,48,44,4,29,27,2
"113",0,0,0,7,7,0,8,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21,19,2,5,4,1
"114",14,14,0,6,6,0,6,6,0,3,3,0,4,4,0,4,4,0,0,0,0,13,13,0,13,13,0,13,13,0,20,20,0,0,0,0,13,13,0,28,27,1,24,23,1
"115",8,8,0,7,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,8,8,0,7,7,0,0,0,0,8,8,0,18,18,0,17,17,0
"116",0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,3,1,1,0
"117",28,27,1,50,46,4,43,39,4,4,3,1,33,32,1,39,37,2,21,20,1,27,26,1,27,26,1,27,26,1,28,27,1,0,0,0,27,26,1,78,73,5,47,46,1
"118",3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,12,7,5,3,3,0
"119",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,3,0,0,0,23,22,1,11,11,0
"120",0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0
"121",5,5,0,2,2,0,2,2,0,0,0,0,10,10,0,13,13,0,3,3,0,6,6,0,6,6,0,6,6,0,13,13,0,0,0,0,6,6,0,17,17,0,14,13,1
"122",21,20,1,20,19,1,11,11,0,2,2,0,11,11,0,9,9,0,5,5,0,21,20,1,21,20,1,21,20,1,25,24,1,46,41,5,21,20,1,11,11,0,37,35,2
"123",26,26,0,22,21,1,21,20,1,15,14,1,6,6,0,4,4,0,0,0,0,23,23,0,23,23,0,23,23,0,21,21,0,0,0,0,23,23,0,61,51,10,43,40,3
"124",38,38,0,22,22,0,16,16,0,11,10,1,41,41,0,42,42,0,28,27,1,33,33,0,34,34,0,33,33,0,39,39,0,21,21,0,33,33,0,72,71,1,67,66,1
"125",1,1,0,2,2,0,4,4,0,3,3,0,5,4,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,17,16,1,0,0,0
"126",50,49,1,34,34,0,21,21,0,3,3,0,20,20,0,13,13,0,0,0,0,47,46,1,47,46,1,47,46,1,44,43,1,0,0,0,47,46,1,31,31,0,60,60,0
"127",19,19,0,16,16,0,15,15,0,3,3,0,29,28,1,35,34,1,32,31,1,11,11,0,12,12,0,11,11,0,16,16,0,0,0,0,11,11,0,40,39,1,35,33,2
"128",3,3,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,3,3,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
"129",38,38,0,26,24,2,24,22,2,8,7,1,43,42,1,36,35,1,1,1,0,33,33,0,34,34,0,33,33,0,38,38,0,0,0,0,33,33,0,61,58,3,48,47,1
"130",4,4,0,5,5,0,4,4,0,1,1,0,3,3,0,2,2,0,1,1,0,3,3,0,3,3,0,3,3,0,6,6,0,20,18,2,3,3,0,22,20,2,6,5,1
"131",2,2,0,4,4,0,0,0,0,0,0,0,6,5,1,8,6,2,3,3,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,22,22,0,17,17,0
"132",0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"133",1,1,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,0
"134",6,6,0,3,3,0,1,1,0,0,0,0,9,9,0,10,10,0,18,18,0,6,6,0,6,6,0,6,6,0,5,5,0,22,19,3,6,6,0,16,16,0,12,12,0
"135",24,24,0,5,5,0,4,4,0,5,5,0,1,1,0,1,1,0,0,0,0,21,21,0,21,21,0,21,21,0,11,11,0,0,0,0,21,21,0,27,26,1,23,23,0
