"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"211",10,8,2,5,4,1,6,5,1,1,1,0,10,9,1,10,9,1,11,10,1,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,1,15,14,1
"212",0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,9,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,41,7,10,10,0
"213",8,8,0,15,14,1,14,13,1,13,12,1,24,24,0,23,22,1,14,13,1,8,8,0,7,7,0,7,7,0,7,7,0,0,0,0,90,7,83,42,37,5,27,27,0
"214",5,5,0,0,0,0,0,0,0,0,0,0,11,11,0,22,21,1,22,22,0,2,2,0,2,2,0,2,2,0,5,5,0,0,0,0,2,2,0,61,51,10,20,20,0
"215",11,11,0,7,7,0,1,1,0,0,0,0,22,22,0,20,20,0,18,15,3,11,11,0,6,6,0,6,6,0,11,11,0,0,0,0,6,6,0,36,32,4,17,17,0
"216",10,10,0,0,0,0,0,0,0,0,0,0,17,16,1,23,22,1,28,26,2,10,10,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,68,58,10,30,29,1
"217",6,5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,6,5,1,6,5,1,6,5,1,5,4,1,0,0,0,6,5,1,22,19,3,15,14,1
"218",2,2,0,7,6,1,7,7,0,6,6,0,32,32,0,34,34,0,34,34,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,54,48,6,36,34,2
"219",0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0
"220",0,0,0,2,2,0,0,0,0,0,0,0,5,5,0,5,5,0,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,4,16,16,0
"221",26,26,0,24,24,0,24,24,0,12,12,0,36,35,1,35,34,1,31,31,0,25,25,0,19,19,0,19,19,0,23,23,0,20,19,1,19,19,0,38,37,1,55,51,4
"222",13,12,1,17,17,0,18,18,0,13,13,0,21,21,0,21,21,0,19,19,0,5,5,0,2,2,0,2,2,0,13,12,1,29,29,0,2,2,0,45,42,3,45,44,1
"223",0,0,0,27,26,1,34,33,1,18,18,0,30,30,0,31,31,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,1,0,0,0,44,41,3,18,17,1
"224",0,0,0,5,5,0,6,6,0,5,5,0,4,4,0,4,4,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,25,15,10,10,10,0
"225",2,2,0,0,0,0,0,0,0,0,0,0,8,8,0,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4,17,17,0
"226",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,3,6,6,0
"227",1,1,0,0,0,0,0,0,0,0,0,0,35,32,3,35,32,3,31,29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,32,28,27,1,37,35,2
"228",9,9,0,8,8,0,8,8,0,0,0,0,8,8,0,6,6,0,1,1,0,9,9,0,8,8,0,8,8,0,8,8,0,0,0,0,8,8,0,10,10,0,19,19,0
"229",11,11,0,9,9,0,8,8,0,0,0,0,23,23,0,26,26,0,32,29,3,9,9,0,8,8,0,8,8,0,11,11,0,0,0,0,8,8,0,49,41,8,36,34,2
"230",14,14,0,16,16,0,18,16,2,7,7,0,11,11,0,14,14,0,16,16,0,18,18,0,11,11,0,11,11,0,17,17,0,0,0,0,11,11,0,35,33,2,34,33,1
"231",0,0,0,23,20,3,15,13,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,3,0,0,0,3,3,0,27,26,1
"232",17,17,0,14,14,0,10,10,0,1,1,0,30,30,0,32,32,0,36,36,0,17,17,0,16,16,0,16,16,0,17,17,0,24,21,3,16,16,0,66,62,4,44,44,0
"233",14,14,0,26,25,1,28,27,1,27,27,0,21,20,1,25,24,1,38,37,1,16,16,0,11,11,0,11,11,0,15,15,0,21,21,0,11,11,0,47,46,1,32,32,0
"234",5,5,0,2,2,0,0,0,0,0,0,0,12,12,0,14,14,0,14,14,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,2,29,29,0
"235",5,5,0,7,7,0,11,11,0,11,11,0,16,15,1,22,21,1,50,48,2,5,5,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,77,61,16,41,40,1
"236",2,2,0,2,2,0,3,3,0,0,0,0,13,11,2,14,13,1,22,21,1,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,61,53,8,21,20,1
"237",8,8,0,11,11,0,14,14,0,12,12,0,9,9,0,13,13,0,28,26,2,8,8,0,4,4,0,4,4,0,7,7,0,0,0,0,4,4,0,44,42,2,27,26,1
"238",4,4,0,1,1,0,1,1,0,0,0,0,7,7,0,7,7,0,49,46,3,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,63,54,9,57,53,4
"239",14,14,0,22,21,1,14,14,0,5,5,0,23,23,0,23,23,0,31,29,2,17,17,0,16,16,0,16,16,0,16,16,0,0,0,0,16,16,0,49,46,3,53,50,3
"240",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,23,23,0
"241",12,12,0,6,6,0,7,7,0,3,3,0,9,7,2,9,7,2,16,13,3,10,10,0,8,8,0,8,8,0,12,12,0,0,0,0,8,8,0,25,24,1,54,47,7
"242",4,4,0,0,0,0,0,0,0,0,0,0,26,22,4,30,26,4,27,23,4,3,3,0,2,2,0,2,2,0,3,3,0,0,0,0,2,2,0,45,35,10,32,27,5
"243",5,4,1,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,24,24,0,5,4,1,3,3,0,3,3,0,4,3,1,0,0,0,3,3,0,49,47,2,45,40,5
"244",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4,14,13,1
"245",29,28,1,8,8,0,7,7,0,0,0,0,13,13,0,13,13,0,14,14,0,27,27,0,22,22,0,22,22,0,26,26,0,0,0,0,22,22,0,44,41,3,53,51,2
"246",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,13,13,0
"247",14,13,1,11,10,1,7,6,1,1,1,0,32,29,3,34,31,3,33,31,2,16,15,1,13,12,1,13,12,1,13,12,1,0,0,0,312,14,298,52,41,11,29,26,3
"248",1,1,0,9,9,0,10,9,1,1,1,0,14,14,0,19,18,1,22,21,1,1,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,39,36,3,22,20,2
"249",3,3,0,4,4,0,3,3,0,0,0,0,12,12,0,16,16,0,31,29,2,4,4,0,3,3,0,3,3,0,4,4,0,0,0,0,85,3,82,35,34,1,33,32,1
"250",4,4,0,4,4,0,4,4,0,3,3,0,9,9,0,9,9,0,11,11,0,4,4,0,4,4,0,4,4,0,4,4,0,0,0,0,4,4,0,19,17,2,15,14,1
"251",12,12,0,22,20,2,20,18,2,15,15,0,51,51,0,52,52,0,54,54,0,12,12,0,8,8,0,8,8,0,13,13,0,22,22,0,8,8,0,77,72,5,61,57,4
"252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,1,15,13,2
"253",0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,5,5,0
"254",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1
"255",0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,28,25,3,16,16,0
"256",26,25,1,26,23,3,28,24,4,8,6,2,30,30,0,39,39,0,51,50,1,25,24,1,12,12,0,12,12,0,21,21,0,30,28,2,13,13,0,64,61,3,63,60,3
"257",15,15,0,1,1,0,1,1,0,0,0,0,7,7,0,7,7,0,3,3,0,14,14,0,5,5,0,5,5,0,14,14,0,0,0,0,7,6,1,29,25,4,34,34,0
"258",4,4,0,2,2,0,2,2,0,0,0,0,2,2,0,2,2,0,4,4,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,23,20,3,22,19,3
"259",14,13,1,1,0,1,0,0,0,0,0,0,34,31,3,27,26,1,23,23,0,14,13,1,20,15,5,20,15,5,20,15,5,0,0,0,20,15,5,34,27,7,46,39,7
"260",0,0,0,0,0,0,0,0,0,0,0,0,18,16,2,18,16,2,16,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,8,21,21,0
"261",11,11,0,16,16,0,17,17,0,16,15,1,12,12,0,20,20,0,23,23,0,12,12,0,8,8,0,8,8,0,13,13,0,21,20,1,8,8,0,39,35,4,28,28,0
"262",3,3,0,2,2,0,2,2,0,1,0,1,0,0,0,6,6,0,9,9,0,3,3,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,21,17,4,8,8,0
"263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,44,4,35,32,3
