"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"1",12,12,0,14,14,0,4,4,0,1,1,0,14,14,0,18,18,0,14,14,0,12,12,0,11,11,0,11,11,0,11,11,0,0,0,0,11,11,0,41,39,2,63,54,9
"2",6,6,0,5,5,0,3,3,0,2,2,0,5,5,0,4,4,0,8,8,0,6,6,0,4,4,0,4,4,0,4,4,0,0,0,0,4,4,0,12,12,0,35,34,1
"3",2,2,0,7,7,0,7,7,0,7,7,0,37,36,1,35,34,1,30,29,1,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,47,44,3,33,32,1
"4",19,18,1,26,25,1,29,27,2,11,8,3,28,26,2,35,32,3,25,23,2,20,19,1,18,17,1,18,17,1,15,14,1,0,0,0,18,17,1,44,37,7,57,54,3
"5",16,16,0,6,6,0,0,0,0,0,0,0,26,26,0,26,26,0,30,30,0,19,19,0,15,15,0,15,15,0,14,14,0,0,0,0,15,15,0,43,40,3,46,43,3
"6",44,43,1,44,40,4,35,33,2,14,12,2,46,45,1,42,41,1,22,22,0,43,42,1,38,37,1,38,37,1,44,43,1,30,27,3,38,37,1,54,50,4,66,63,3
"7",30,30,0,1,1,0,4,4,0,4,4,0,44,44,0,47,46,1,48,47,1,30,30,0,30,30,0,30,30,0,44,43,1,0,0,0,30,30,0,75,68,7,71,66,5
"8",33,33,0,22,22,0,12,12,0,0,0,0,28,27,1,33,32,1,29,28,1,30,30,0,29,29,0,29,29,0,32,32,0,0,0,0,29,29,0,57,52,5,61,61,0
"9",26,23,3,18,16,2,16,14,2,0,0,0,22,22,0,18,18,0,7,7,0,26,23,3,25,22,3,25,22,3,28,25,3,0,0,0,140,22,118,43,42,1,58,58,0
"10",24,22,2,17,17,0,11,11,0,2,2,0,37,35,2,38,36,2,22,21,1,24,22,2,19,19,0,19,19,0,22,20,2,0,0,0,20,19,1,41,37,4,42,41,1
"11",0,0,0,14,14,0,23,23,0,31,29,2,16,14,2,28,26,2,41,39,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,69,66,3,46,44,2
"12",20,18,2,8,8,0,0,0,0,0,0,0,15,14,1,3,3,0,1,1,0,15,13,2,13,12,1,13,12,1,25,22,3,0,0,0,13,12,1,52,49,3,50,47,3
"13",1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,5,4,1,16,15,1
"14",17,17,0,9,9,0,3,3,0,0,0,0,24,23,1,27,25,2,2,2,0,15,15,0,14,14,0,14,14,0,13,13,0,0,0,0,15,15,0,32,30,2,52,47,5
"15",0,0,0,13,13,0,9,9,0,1,0,1,18,18,0,27,27,0,36,35,1,0,0,0,0,0,0,0,0,0,17,17,0,42,39,3,0,0,0,72,61,11,66,63,3
"16",47,46,1,57,55,2,56,53,3,50,48,2,59,56,3,57,55,2,56,54,2,44,44,0,37,37,0,37,37,0,44,43,1,52,47,5,38,38,0,75,66,9,80,78,2
"17",9,9,0,10,10,0,6,6,0,0,0,0,3,3,0,0,0,0,0,0,0,8,8,0,8,8,0,8,8,0,8,8,0,0,0,0,9,8,1,62,52,10,30,30,0
"18",17,16,1,1,1,0,1,1,0,1,1,0,13,13,0,15,15,0,18,17,1,19,18,1,18,17,1,18,17,1,16,15,1,0,0,0,18,17,1,49,45,4,45,43,2
"19",13,12,1,15,15,0,3,3,0,0,0,0,43,43,0,35,35,0,2,2,0,11,10,1,11,10,1,11,10,1,19,18,1,21,21,0,11,10,1,49,48,1,64,61,3
"20",27,26,1,12,12,0,6,6,0,3,3,0,51,48,3,50,46,4,43,41,2,27,26,1,24,22,2,24,22,2,26,25,1,0,0,0,24,22,2,66,53,13,69,65,4
"21",4,4,0,0,0,0,0,0,0,0,0,0,11,10,1,14,13,1,14,13,1,4,4,0,4,4,0,4,4,0,8,8,0,0,0,0,4,4,0,56,40,16,33,31,2
"22",55,54,1,45,41,4,36,32,4,0,0,0,68,63,5,64,60,4,41,37,4,50,49,1,44,43,1,43,42,1,59,56,3,47,46,1,43,42,1,69,63,6,78,78,0
"23",4,4,0,0,0,0,0,0,0,0,0,0,35,35,0,38,38,0,45,44,1,9,9,0,4,4,0,4,4,0,10,10,0,0,0,0,4,4,0,66,61,5,35,33,2
"24",29,29,0,49,48,1,54,53,1,39,39,0,40,40,0,48,47,1,66,63,3,27,27,0,21,21,0,21,21,0,35,34,1,67,66,1,21,21,0,82,78,4,80,79,1
"25",20,20,0,5,5,0,3,3,0,2,2,0,37,36,1,36,36,0,31,31,0,20,20,0,18,18,0,18,18,0,15,15,0,0,0,0,18,18,0,39,36,3,52,50,2
"26",9,9,0,1,1,0,0,0,0,0,0,0,54,52,2,46,45,1,35,34,1,9,9,0,9,9,0,9,9,0,9,9,0,0,0,0,10,9,1,48,45,3,37,36,1
"27",0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,46,46,0,47,47,0,2,2,0,0,0,0,0,0,0,6,6,0,23,20,3,0,0,0,61,57,4,45,45,0
"28",27,26,1,41,38,3,37,34,3,29,28,1,59,58,1,62,61,1,59,58,1,26,25,1,22,21,1,22,21,1,25,25,0,0,0,0,24,23,1,78,74,4,72,66,6
"29",11,11,0,11,11,0,10,10,0,15,13,2,26,26,0,27,27,0,24,24,0,10,10,0,10,10,0,10,10,0,11,11,0,0,0,0,10,10,0,41,37,4,40,40,0
"30",37,37,0,70,66,4,64,61,3,30,27,3,73,68,5,73,69,4,75,70,5,23,23,0,22,22,0,22,22,0,44,43,1,73,69,4,22,22,0,86,83,3,86,79,7
"31",2,2,0,0,0,0,0,0,0,0,0,0,44,41,3,46,42,4,40,35,5,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,42,41,1,25,25,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,8,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,44,10,9,9,0
"33",12,12,0,0,0,0,0,0,0,0,0,0,31,30,1,32,31,1,28,28,0,11,11,0,11,11,0,11,11,0,15,15,0,0,0,0,11,11,0,43,40,3,44,44,0
"34",17,15,2,24,22,2,23,21,2,12,12,0,51,48,3,50,47,3,47,44,3,18,16,2,16,15,1,16,15,1,15,15,0,48,47,1,16,15,1,50,47,3,53,49,4
"35",9,9,0,11,11,0,11,11,0,3,3,0,28,21,7,27,20,7,22,18,4,7,7,0,7,7,0,7,7,0,10,10,0,0,0,0,7,7,0,37,26,11,45,39,6
"36",8,8,0,15,15,0,12,12,0,3,3,0,38,38,0,38,38,0,37,37,0,9,9,0,3,3,0,3,3,0,3,3,0,0,0,0,8,8,0,55,54,1,55,51,4
"37",14,13,1,2,2,0,0,0,0,0,0,0,38,38,0,40,40,0,39,39,0,10,10,0,10,10,0,10,10,0,15,14,1,0,0,0,10,10,0,49,47,2,50,48,2
