"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"1",1,1,0,22,21,1,28,26,2,41,39,2,80,78,2,77,75,2,74,74,0,1,1,0,1,1,0,1,1,0,1,1,0,56,52,4,1,1,0,99,95,4,53,49,4
"2",2,2,0,2,2,0,2,2,0,0,0,0,54,53,1,51,51,0,50,50,0,2,2,0,2,2,0,2,2,0,6,6,0,0,0,0,2,2,0,94,86,8,38,36,2
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,4,0,0,0,23,20,3,9,9,0
"4",0,0,0,4,4,0,4,4,0,2,2,0,11,11,0,12,12,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,1,26,26,0
"5",1,1,0,1,1,0,1,1,0,0,0,0,36,31,5,40,35,5,39,35,4,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,54,48,6,6,6,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,65,64,1,67,66,1,66,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,95,11,46,46,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"8",2,2,0,1,1,0,1,1,0,1,1,0,32,32,0,31,31,0,26,26,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,53,51,2,28,25,3
"9",0,0,0,0,0,0,0,0,0,0,0,0,40,39,1,41,40,1,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,52,1,35,31,4
"10",4,4,0,3,3,0,2,2,0,2,2,0,59,57,2,59,57,2,58,57,1,4,4,0,4,4,0,4,4,0,8,7,1,0,0,0,4,4,0,71,67,4,42,42,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,20,18,2,27,25,2,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,54,7,9,9,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,39,38,1,43,42,1,42,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,47,3,36,32,4
"13",0,0,0,4,4,0,7,7,0,3,2,1,58,55,3,58,55,3,57,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,89,9,39,39,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,37,35,2,36,35,1,35,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,100,11,7,7,0
"15",1,1,0,0,0,0,0,0,0,0,0,0,17,14,3,19,17,2,18,16,2,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,30,28,2,23,20,3
"16",2,2,0,9,8,1,4,3,1,1,0,1,58,57,1,54,54,0,40,40,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,77,71,6,52,51,1
"17",0,0,0,0,0,0,0,0,0,0,0,0,35,33,2,34,32,2,32,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,47,4,0,0,0
"18",0,0,0,0,0,0,1,1,0,0,0,0,28,28,0,29,29,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,3,4,4,0
"19",0,0,0,3,3,0,4,4,0,6,6,0,24,23,1,26,25,1,24,23,1,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,73,67,6,29,27,2
"20",0,0,0,3,3,0,5,5,0,6,6,0,10,10,0,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,2,0,0,0,79,66,13,11,11,0
"21",0,0,0,2,2,0,2,2,0,0,0,0,11,11,0,11,11,0,12,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,51,47,4,35,34,1
"22",4,4,0,16,14,2,25,23,2,40,39,1,57,55,2,59,57,2,52,51,1,4,4,0,4,4,0,4,4,0,6,6,0,29,29,0,4,4,0,104,95,9,42,38,4
"23",3,3,0,2,2,0,2,2,0,0,0,0,78,74,4,76,72,4,68,64,4,3,3,0,3,3,0,3,3,0,15,14,1,32,32,0,3,3,0,74,71,3,52,51,1
"24",0,0,0,0,0,0,0,0,0,0,0,0,44,43,1,43,42,1,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,80,5,9,9,0
"25",2,2,0,2,2,0,1,1,0,0,0,0,57,56,1,53,53,0,49,49,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,77,74,3,19,19,0
"26",0,0,0,2,2,0,2,2,0,0,0,0,9,9,0,12,12,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,33,33,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,30,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,97,3,6,6,0
"28",1,1,0,9,9,0,13,13,0,7,7,0,48,48,0,45,45,0,42,42,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,55,55,0,37,37,0
"29",0,0,0,8,8,0,9,9,0,6,6,0,54,52,2,53,52,1,52,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,85,4,45,41,4
"30",0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,51,51,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,84,7,33,33,0
"31",0,0,0,0,0,0,4,4,0,14,14,0,10,10,0,10,10,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42,2,12,12,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,39,38,1,44,43,1,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,69,2,10,10,0
"33",2,2,0,19,19,0,28,27,1,42,40,2,51,47,4,54,49,5,53,48,5,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,82,72,10,40,38,2
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,46,9,40,40,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"36",6,6,0,11,11,0,13,13,0,22,21,1,47,44,3,45,43,2,44,42,2,3,3,0,3,3,0,3,3,0,4,4,0,28,28,0,3,3,0,69,64,5,41,40,1
"37",1,0,1,10,9,1,16,15,1,3,3,0,53,50,3,53,50,3,54,51,3,1,0,1,1,0,1,1,0,1,1,0,1,21,21,0,1,0,1,89,78,11,37,34,3
"38",0,0,0,10,10,0,10,10,0,13,13,0,37,34,3,36,33,3,33,32,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,67,62,5,40,39,1
"39",0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,37,37,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,15,15,0
"40",4,4,0,10,9,1,12,11,1,0,0,0,67,66,1,68,67,1,59,59,0,3,3,0,4,4,0,3,3,0,10,10,0,26,26,0,3,3,0,94,91,3,47,45,2
