"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",103.836,101.688,2.148,0.0200846316646403
"WABH MMW mean_pm adapt pm",151.548,147.916,3.632,0.0238118810363758
"WABH MMW 0.5 adapt pm",147.964,144.62,3.344,0.0227834626985968
"WABH MMW 0.9 adapt pm",69.064,67.858,1.206,0.0197708574729192
"WABH MMW mean_pm camt pm",171.392,167.082,4.31,0.0260174128529155
"WABH MMW 0.5 camt pm",167.018,162.96,4.058,0.0252716081810433
"WABH MMW 0.9 camt pm",140.142,136.972,3.17,0.0238163384115838
"Ten Rule",100.476,98.458,2.018,0.0194173275749063
"Adaptive BH",101.25,99.184,2.066,0.0197130676811426
"Regular BH",100.286,98.278,2.008,0.0193517943862303
"IHW",109.174,106.92,2.254,0.0201297058156848
"ADAPT",115.514,112.222,3.292,0.025244304959613
"SWFDR",100.888,98.794,2.094,0.0200144657508536
"CAMT",219.232,210.95,8.282,0.0372626935927635
