"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.572,0.544,0.028,0.0119714285714286
"WABH MMW mean_pm adapt pm",1.762,1.72,0.042,0.00735269712489392
"WABH MMW 0.5 adapt pm",2.65,2.582,0.068,0.0240880931440006
"WABH MMW 0.9 adapt pm",2.134,2.048,0.086,0.0384766594516594
"WABH MMW mean_pm camt pm",7.722,7.53,0.192,0.0208805755915778
"WABH MMW 0.5 camt pm",8.298,8.116,0.182,0.0160124071605974
"WABH MMW 0.9 camt pm",9.554,9.31,0.244,0.0199314614531914
"Ten Rule",0.492,0.468,0.024,0.0109047619047619
"Adaptive BH",0.38,0.358,0.022,0.00766666666666667
"Regular BH",0.374,0.352,0.022,0.00766666666666667
"IHW",0.576,0.538,0.038,0.0110818181818182
"ADAPT",5.678,5.356,0.322,0.00851972251443769
"SWFDR",2.436,0.438,1.998,0.12610769680745
"CAMT",62.758,58.186,4.572,0.0747492516363074
