"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",34.264,33.474,0.79,0.0213753332274922
"WABH MMW mean_pm adapt pm",41.08,39.708,1.372,0.0310365569911144
"WABH MMW 0.5 adapt pm",39.898,38.502,1.396,0.0346313411019067
"WABH MMW 0.9 adapt pm",19.88,19.218,0.662,0.0380530273945452
"WABH MMW mean_pm camt pm",51.628,50.038,1.59,0.0302816140482163
"WABH MMW 0.5 camt pm",51.864,50.36,1.504,0.0292733376607786
"WABH MMW 0.9 camt pm",45.028,43.814,1.214,0.0264305651115424
"Ten Rule",34.348,33.57,0.778,0.0212070839386603
"Adaptive BH",33.136,32.544,0.592,0.0165449096776734
"Regular BH",33.108,32.522,0.586,0.0164084437525799
"IHW",35.306,34.554,0.752,0.0195594814791467
"ADAPT",36.774,35.262,1.512,0.0312203447959559
"SWFDR",34.624,32.78,1.844,0.0373030027757345
"CAMT",67.394,63.014,4.38,0.0636442910423955
