"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.578,0.562,0.016,0.00435238095238095
"WABH MMW mean_pm adapt pm",1.944,1.876,0.068,0.0104644475090127
"WABH MMW 0.5 adapt pm",2.588,2.506,0.082,0.0122992612289671
"WABH MMW 0.9 adapt pm",2.1,2.05,0.05,0.0141783297971378
"WABH MMW mean_pm camt pm",14.112,13.752,0.36,0.025396706054721
"WABH MMW 0.5 camt pm",14.468,14.11,0.358,0.0240347438567936
"WABH MMW 0.9 camt pm",14.326,13.982,0.344,0.0238125055540762
"Ten Rule",0.498,0.484,0.014,0.00373333333333333
"Adaptive BH",0.498,0.484,0.014,0.00373333333333333
"Regular BH",0.494,0.48,0.014,0.00373333333333333
"IHW",0.708,0.69,0.018,0.00443571428571429
"ADAPT",6.308,6.012,0.296,0.00743748305433619
"SWFDR",0.552,0.512,0.04,0.0192571428571429
"CAMT",69.03,64.512,4.518,0.0634044888066689
