"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",7.05,6.856,0.194,0.0193686539799493
"WABH MMW mean_pm adapt pm",8.756,8.464,0.292,0.0168415319735756
"WABH MMW 0.5 adapt pm",9,8.674,0.326,0.0239865581595755
"WABH MMW 0.9 adapt pm",4.834,4.648,0.186,0.034463518449949
"WABH MMW mean_pm camt pm",17.216,16.738,0.478,0.0273222153522737
"WABH MMW 0.5 camt pm",18.13,17.652,0.478,0.0242076230187764
"WABH MMW 0.9 camt pm",17.712,17.276,0.436,0.028648777294683
"Ten Rule",6.454,6.29,0.164,0.0168087461641117
"Adaptive BH",4.536,4.464,0.072,0.00962270965749227
"Regular BH",4.536,4.464,0.072,0.00962270965749227
"IHW",7.112,6.93,0.182,0.0155490062390991
"ADAPT",8.234,7.828,0.406,0.0129730628502903
"SWFDR",21.42,4.648,16.772,0.123367584977969
"CAMT",36.608,33.05,3.558,0.109382193106868
