"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.592,0.574,0.018,0.00606666666666667
"WABH MMW mean_pm adapt pm",1.614,1.558,0.056,0.0165841713841714
"WABH MMW 0.5 adapt pm",2.238,2.168,0.07,0.0204279704012463
"WABH MMW 0.9 adapt pm",1.86,1.802,0.058,0.0267201723113488
"WABH MMW mean_pm camt pm",7.558,7.322,0.236,0.0174936887487636
"WABH MMW 0.5 camt pm",8.018,7.78,0.238,0.0180771466179889
"WABH MMW 0.9 camt pm",9.594,9.326,0.268,0.0212115403383786
"Ten Rule",0.472,0.456,0.016,0.0059
"Adaptive BH",0.364,0.356,0.008,0.004
"Regular BH",0.352,0.344,0.008,0.004
"IHW",0.554,0.536,0.018,0.00646666666666667
"ADAPT",6.186,5.878,0.308,0.00739592170582549
"SWFDR",2.186,0.432,1.754,0.0885735925450798
"CAMT",61.528,57.414,4.114,0.0678861425283448
