"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",82.214,80.482,1.732,0.0202141887574898
"WABH MMW mean_pm adapt pm",123.046,120,3.046,0.024590557059953
"WABH MMW 0.5 adapt pm",120.468,117.666,2.802,0.0237107947950373
"WABH MMW 0.9 adapt pm",54.242,53.322,0.92,0.0239915191844967
"WABH MMW mean_pm camt pm",128.972,125.768,3.204,0.025006200463445
"WABH MMW 0.5 camt pm",129.434,126.356,3.078,0.02397792639432
"WABH MMW 0.9 camt pm",118.996,116.45,2.546,0.0211485302205803
"Ten Rule",80.18,78.542,1.638,0.0195678838198037
"Adaptive BH",73.33,72.026,1.304,0.0163961686809829
"Regular BH",72.596,71.336,1.26,0.0161276794470501
"IHW",84.292,82.682,1.61,0.0179598005067743
"ADAPT",101.102,98.246,2.856,0.0259122521061387
"SWFDR",75.432,71.646,3.786,0.0404758536505505
"CAMT",199.438,191.882,7.556,0.0373125200980404
