"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",208.03,203.798,4.232,0.02042504198468
"WABH MMW mean_pm adapt pm",247.626,241.882,5.744,0.0232401606114987
"WABH MMW 0.5 adapt pm",241.196,235.84,5.356,0.0223392529287255
"WABH MMW 0.9 adapt pm",139.464,136.92,2.544,0.0233890794344864
"WABH MMW mean_pm camt pm",234.136,227.792,6.344,0.0272035844390505
"WABH MMW 0.5 camt pm",229.062,223.144,5.918,0.0260126191323531
"WABH MMW 0.9 camt pm",175.328,171.524,3.804,0.0216822299493039
"Ten Rule",207.312,203.156,4.156,0.0200333683206521
"Adaptive BH",205.668,201.808,3.86,0.0185663002683449
"Regular BH",204.672,200.954,3.718,0.0179849331649091
"IHW",210.136,206.3,3.836,0.0181550523223677
"ADAPT",198.124,193.798,4.326,0.0214138379084537
"SWFDR",207.992,201.196,6.796,0.0305620319561986
"CAMT",276.048,267.578,8.47,0.0303491077020225
