"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",41.142,40.192,0.95,0.0221006205224934
"WABH MMW mean_pm adapt pm",47.24,45.734,1.506,0.0309908364369911
"WABH MMW 0.5 adapt pm",46.052,44.526,1.526,0.0324145902639513
"WABH MMW 0.9 adapt pm",23.368,22.64,0.728,0.0281369709506679
"WABH MMW mean_pm camt pm",62.462,60.464,1.998,0.0322130504226968
"WABH MMW 0.5 camt pm",61.65,59.784,1.866,0.0306049282672063
"WABH MMW 0.9 camt pm",51.524,50.09,1.434,0.0287411951241395
"Ten Rule",40.65,39.702,0.948,0.0223729109092808
"Adaptive BH",40.666,39.714,0.952,0.0224763483929029
"Regular BH",40.624,39.676,0.948,0.0223887013839734
"IHW",42.098,41.076,1.022,0.0231514281731388
"ADAPT",40.088,38.264,1.824,0.0345776144095145
"SWFDR",40.95,39.92,1.03,0.0241276856166213
"CAMT",74.602,69.764,4.838,0.0626291535330707
