"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",6.662,6.444,0.218,0.0220445711784407
"WABH MMW mean_pm adapt pm",8.282,7.984,0.298,0.025998639614841
"WABH MMW 0.5 adapt pm",8.596,8.252,0.344,0.0369866962155075
"WABH MMW 0.9 adapt pm",4.382,4.198,0.184,0.0567917353527707
"WABH MMW mean_pm camt pm",16.798,16.394,0.404,0.0166572349637218
"WABH MMW 0.5 camt pm",17.768,17.382,0.386,0.0188323525783262
"WABH MMW 0.9 camt pm",17.122,16.734,0.388,0.0167236418128775
"Ten Rule",6.128,5.966,0.162,0.0208235434835851
"Adaptive BH",4.516,4.39,0.126,0.0155383744910061
"Regular BH",4.514,4.388,0.126,0.0155383744910061
"IHW",6.754,6.498,0.256,0.023119927163043
"ADAPT",8.07,7.686,0.384,0.0111781331483759
"SWFDR",13.562,4.486,9.076,0.114100678069419
"CAMT",35.872,32.674,3.198,0.0881624717268943
