"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",242.234,237.144,5.09,0.0209414437377705
"WABH MMW mean_pm adapt pm",283.81,276.764,7.046,0.0248095460938247
"WABH MMW 0.5 adapt pm",279.294,272.682,6.612,0.0237427456802966
"WABH MMW 0.9 adapt pm",163.278,160.098,3.18,0.0190915783506929
"WABH MMW mean_pm camt pm",274.194,267.206,6.988,0.0258369877147027
"WABH MMW 0.5 camt pm",264.756,258.23,6.526,0.0250778570768865
"WABH MMW 0.9 camt pm",190.164,185.914,4.25,0.0250639183978984
"Ten Rule",239.588,234.644,4.944,0.0205349637150249
"Adaptive BH",240.446,235.336,5.11,0.021150312761635
"Regular BH",239.422,234.49,4.932,0.0204947925725666
"IHW",243.916,239.02,4.896,0.0200088253129162
"ADAPT",226.688,221.502,5.186,0.0222375803238933
"SWFDR",239.544,234.574,4.97,0.0206525374909792
"CAMT",298.266,289.156,9.11,0.030478524738946
