"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",141.914,139.054,2.86,0.0208746866316597
"WABH MMW mean_pm adapt pm",173.288,169.516,3.772,0.0218695424416659
"WABH MMW 0.5 adapt pm",167.098,163.692,3.406,0.021088447788113
"WABH MMW 0.9 adapt pm",100.528,98.922,1.606,0.0200621657611394
"WABH MMW mean_pm camt pm",162.128,159.156,2.972,0.0171791676749519
"WABH MMW 0.5 camt pm",165.722,162.76,2.962,0.0171217287939338
"WABH MMW 0.9 camt pm",149.602,147.048,2.554,0.0167774553058046
"Ten Rule",141.322,138.456,2.866,0.0210923009642769
"Adaptive BH",135.404,133.55,1.854,0.0133233612788158
"Regular BH",134.866,133.072,1.794,0.0129729047090343
"IHW",145.738,143.16,2.578,0.0178275244257696
"ADAPT",144.706,141.822,2.884,0.0194037313375919
"SWFDR",176.014,134.576,41.438,0.118288365664583
"CAMT",224.034,216.56,7.474,0.0343189803850394
