"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.664,0.64,0.024,0.01145
"WABH MMW mean_pm adapt pm",1.898,1.844,0.054,0.018237851037851
"WABH MMW 0.5 adapt pm",2.71,2.646,0.064,0.0155836634096225
"WABH MMW 0.9 adapt pm",2.058,1.996,0.062,0.0273231684981685
"WABH MMW mean_pm camt pm",16.76,16.37,0.39,0.0200127642807243
"WABH MMW 0.5 camt pm",17.036,16.658,0.378,0.0195380775578514
"WABH MMW 0.9 camt pm",17.186,16.82,0.366,0.0183383532034608
"Ten Rule",0.552,0.532,0.02,0.00843809523809524
"Adaptive BH",0.556,0.536,0.02,0.00843809523809524
"Regular BH",0.55,0.53,0.02,0.00843809523809524
"IHW",0.698,0.678,0.02,0.00891904761904762
"ADAPT",4.984,4.75,0.234,0.00616483667626763
"SWFDR",0.61,0.546,0.064,0.0231714285714286
"CAMT",71.534,67.03,4.504,0.060354341730206
