"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",242.476,237.422,5.054,0.0207552659009295
"WABH MMW mean_pm adapt pm",283.486,276.604,6.882,0.0242568904982387
"WABH MMW 0.5 adapt pm",278.88,272.322,6.558,0.0234859028775393
"WABH MMW 0.9 adapt pm",161.326,158.128,3.198,0.0182760307456696
"WABH MMW mean_pm camt pm",274.208,266.786,7.422,0.0275186472459452
"WABH MMW 0.5 camt pm",265.594,258.616,6.978,0.0268052035333927
"WABH MMW 0.9 camt pm",192.14,187.536,4.604,0.0256592711030228
"Ten Rule",239.78,234.948,4.832,0.0200644332578368
"Adaptive BH",240.578,235.586,4.992,0.0206688492299763
"Regular BH",239.65,234.852,4.798,0.0199375159634316
"IHW",243.702,238.986,4.716,0.0192567146695641
"ADAPT",227.452,222.186,5.266,0.0226837003715629
"SWFDR",239.894,235.022,4.872,0.0202231031077349
"CAMT",296.832,287.672,9.16,0.0304051141493538
