"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",34.26,33.48,0.78,0.0215457038481267
"WABH MMW mean_pm adapt pm",39.964,38.726,1.238,0.028610865278042
"WABH MMW 0.5 adapt pm",38.77,37.396,1.374,0.0332765303804319
"WABH MMW 0.9 adapt pm",17.238,16.594,0.644,0.0330443776200827
"WABH MMW mean_pm camt pm",52.786,51.312,1.474,0.0277905483111893
"WABH MMW 0.5 camt pm",52.912,51.542,1.37,0.0258800779084748
"WABH MMW 0.9 camt pm",44.68,43.63,1.05,0.0232379420686997
"Ten Rule",34.402,33.628,0.774,0.0210674276149626
"Adaptive BH",33.29,32.636,0.654,0.0185884825044943
"Regular BH",33.268,32.618,0.65,0.0185059532634453
"IHW",35.364,34.55,0.814,0.021088991849952
"ADAPT",36.696,35.086,1.61,0.0336448894251689
"SWFDR",34.838,32.796,2.042,0.0416894207132577
"CAMT",68.198,64.054,4.144,0.0594355255917392
