"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.118,0.104,0.014,0.0116666666666667
"WABH MMW mean_pm adapt pm",0.188,0.168,0.02,0.0138333333333333
"WABH MMW 0.5 adapt pm",0.24,0.214,0.026,0.019
"WABH MMW 0.9 adapt pm",0.152,0.104,0.048,0.0434
"WABH MMW mean_pm camt pm",3.3,3.044,0.256,0.0573287145714996
"WABH MMW 0.5 camt pm",3.3,3.068,0.232,0.0588264518075664
"WABH MMW 0.9 camt pm",3.146,2.932,0.214,0.056820948659184
"Ten Rule",0.098,0.086,0.012,0.00966666666666667
"Adaptive BH",0.098,0.086,0.012,0.00966666666666667
"Regular BH",0.096,0.084,0.012,0.00966666666666667
"IHW",0.098,0.09,0.008,0.007
"ADAPT",0.046,0.036,0.01,0.000434782608695652
"SWFDR",0.132,0.09,0.042,0.0199333333333333
"CAMT",19.046,14.812,4.234,0.249709459344695
