"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.778,11.532,0.246,0.0188623552715809
"WABH MMW mean_pm adapt pm",15.318,14.872,0.446,0.0279536495559658
"WABH MMW 0.5 adapt pm",15.192,14.706,0.486,0.0282434585736701
"WABH MMW 0.9 adapt pm",7.018,6.762,0.256,0.0461368594813082
"WABH MMW mean_pm camt pm",39.444,38.15,1.294,0.0342115202253828
"WABH MMW 0.5 camt pm",38.994,37.816,1.178,0.0319213886262937
"WABH MMW 0.9 camt pm",34.14,33.192,0.948,0.0308694465326934
"Ten Rule",11.072,10.854,0.218,0.0161572892880175
"Adaptive BH",11.072,10.85,0.222,0.0168156624937592
"Regular BH",11.05,10.832,0.218,0.0161572892880175
"IHW",13.482,13.19,0.292,0.0190064495071913
"ADAPT",12.898,12.096,0.802,0.0219861376502469
"SWFDR",11.414,11.136,0.278,0.0226390541242552
"CAMT",57.816,53.452,4.364,0.071645614642372
