"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",141.908,139.126,2.782,0.019713355671553
"WABH MMW mean_pm adapt pm",174.802,170.87,3.932,0.0238817122511296
"WABH MMW 0.5 adapt pm",169.162,165.6,3.562,0.0237156758555428
"WABH MMW 0.9 adapt pm",100.596,98.98,1.616,0.0187526615764323
"WABH MMW mean_pm camt pm",163.032,159.938,3.094,0.0177291245384755
"WABH MMW 0.5 camt pm",167.194,164.06,3.134,0.0180073424721212
"WABH MMW 0.9 camt pm",152.314,149.67,2.644,0.017207226670446
"Ten Rule",141.486,138.728,2.758,0.0195580917282235
"Adaptive BH",135.42,133.61,1.81,0.0124935443291932
"Regular BH",134.828,133.052,1.776,0.0123243047209967
"IHW",146.09,143.554,2.536,0.0172631469876137
"ADAPT",147.2,143.954,3.246,0.0218104691071391
"SWFDR",177.914,134.594,43.32,0.125325554251419
"CAMT",225.63,218.114,7.516,0.0337457543068697
