"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.652,11.384,0.268,0.0204808032993183
"WABH MMW mean_pm adapt pm",15.798,15.328,0.47,0.0264925736253489
"WABH MMW 0.5 adapt pm",15.67,15.14,0.53,0.0321195104672515
"WABH MMW 0.9 adapt pm",7.76,7.436,0.324,0.048981252073147
"WABH MMW mean_pm camt pm",40.792,39.592,1.2,0.0305421420455668
"WABH MMW 0.5 camt pm",40.37,39.292,1.078,0.0278495276711437
"WABH MMW 0.9 camt pm",34.666,33.82,0.846,0.0245148942292293
"Ten Rule",11.098,10.842,0.256,0.0207856543040424
"Adaptive BH",11.1,10.844,0.256,0.0207856543040424
"Regular BH",11.092,10.836,0.256,0.0207856543040424
"IHW",13.354,12.992,0.362,0.0237039359575993
"ADAPT",10.262,9.636,0.626,0.0188979326572454
"SWFDR",11.358,11.01,0.348,0.0268634622474587
"CAMT",57.532,53.686,3.846,0.0630617498535434
