"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.416,0.394,0.022,0.0112968253968254
"WABH MMW mean_pm adapt pm",1.142,1.08,0.062,0.0172035714285714
"WABH MMW 0.5 adapt pm",1.83,1.77,0.06,0.0248057860560492
"WABH MMW 0.9 adapt pm",1.482,1.424,0.058,0.0408143772893773
"WABH MMW mean_pm camt pm",3.276,3.08,0.196,0.02511004519897
"WABH MMW 0.5 camt pm",3.594,3.492,0.102,0.0144852926903153
"WABH MMW 0.9 camt pm",5.118,4.938,0.18,0.0164396850895232
"Ten Rule",0.316,0.294,0.022,0.0147333333333333
"Adaptive BH",0.258,0.17,0.088,0.00785535117056856
"Regular BH",0.258,0.17,0.088,0.00785535117056856
"IHW",0.384,0.29,0.094,0.00894230769230769
"ADAPT",3.268,3.062,0.206,0.00658735229883497
"SWFDR",13.05,0.904,12.146,0.141994332436564
"CAMT",41.894,38.612,3.282,0.0849253379909052
