"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",104.754,102.696,2.058,0.0192556892996762
"WABH MMW mean_pm adapt pm",151.054,147.472,3.582,0.0238973706723634
"WABH MMW 0.5 adapt pm",147.128,143.738,3.39,0.0232779903136429
"WABH MMW 0.9 adapt pm",66.032,64.864,1.168,0.0307690916575131
"WABH MMW mean_pm camt pm",175.872,172.022,3.85,0.0226962680093234
"WABH MMW 0.5 camt pm",170.67,167.142,3.528,0.0215499691461645
"WABH MMW 0.9 camt pm",137.996,135.42,2.576,0.0193617003194416
"Ten Rule",101.294,99.354,1.94,0.0188132827334726
"Adaptive BH",101.954,99.95,2.004,0.0193585540491916
"Regular BH",101.11,99.164,1.946,0.0189117958881925
"IHW",108.492,106.346,2.146,0.0192971196413375
"ADAPT",108.894,105.988,2.906,0.0235990223181167
"SWFDR",101.394,99.404,1.99,0.0193335488974453
"CAMT",218.198,210.744,7.454,0.0336625890289257
