"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",207.638,203.294,4.344,0.0210464676860872
"WABH MMW mean_pm adapt pm",247.54,241.618,5.922,0.0240041877817446
"WABH MMW 0.5 adapt pm",241.462,235.944,5.518,0.0230187493863642
"WABH MMW 0.9 adapt pm",139.186,136.474,2.712,0.0219318452782582
"WABH MMW mean_pm camt pm",233.266,226.772,6.494,0.0280082076043055
"WABH MMW 0.5 camt pm",228.404,222.34,6.064,0.0267845240158494
"WABH MMW 0.9 camt pm",175.556,171.544,4.012,0.0226163619665339
"Ten Rule",206.83,202.624,4.206,0.0204241364935542
"Adaptive BH",205.34,201.426,3.914,0.019054040183795
"Regular BH",204.426,200.62,3.806,0.0186187338873417
"IHW",210.316,206.352,3.964,0.018859545571937
"ADAPT",200.518,196.126,4.392,0.0216016651442825
"SWFDR",207.752,200.906,6.846,0.0311415958864587
"CAMT",277.462,268.392,9.07,0.032215021758917
