"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",141.82,138.89,2.93,0.0211596113596351
"WABH MMW mean_pm adapt pm",173.756,170.034,3.722,0.0216136930653463
"WABH MMW 0.5 adapt pm",167.524,164.146,3.378,0.0205342408210747
"WABH MMW 0.9 adapt pm",97.866,96.292,1.574,0.0183793863357369
"WABH MMW mean_pm camt pm",162.574,159.476,3.098,0.0181238034445254
"WABH MMW 0.5 camt pm",166.326,163.184,3.142,0.0184433066025568
"WABH MMW 0.9 camt pm",149.942,147.286,2.656,0.019551112521158
"Ten Rule",141.148,138.262,2.886,0.0210109018381332
"Adaptive BH",135.796,133.808,1.988,0.0143714578651511
"Regular BH",135.236,133.298,1.938,0.0140316468311047
"IHW",145.692,143.018,2.674,0.0183498326088583
"ADAPT",146.478,143.252,3.226,0.0216483512066918
"SWFDR",183.46,135.056,48.404,0.140638566808366
"CAMT",224.32,216.716,7.604,0.0364841628049489
