"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.542,0.52,0.022,0.0125818181818182
"WABH MMW mean_pm adapt pm",1.616,1.568,0.048,0.00771071314306608
"WABH MMW 0.5 adapt pm",2.456,2.392,0.064,0.0139607327538362
"WABH MMW 0.9 adapt pm",1.78,1.714,0.066,0.035794872437504
"WABH MMW mean_pm camt pm",7.944,7.718,0.226,0.0223736672706231
"WABH MMW 0.5 camt pm",8.536,8.322,0.214,0.0214292969107159
"WABH MMW 0.9 camt pm",10.212,9.978,0.234,0.0223597190420718
"Ten Rule",0.426,0.412,0.014,0.00966666666666667
"Adaptive BH",0.324,0.314,0.01,0.0075
"Regular BH",0.322,0.312,0.01,0.0075
"IHW",0.472,0.458,0.014,0.00883333333333333
"ADAPT",4.536,4.286,0.25,0.007169384183859
"SWFDR",1.936,0.478,1.458,0.0941886742509731
"CAMT",61.298,57.326,3.972,0.063577360851939
