"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",52.21,51.232,0.978,0.017779440144085
"WABH MMW mean_pm adapt pm",78.226,76.43,1.796,0.0217586483541093
"WABH MMW 0.5 adapt pm",77.19,75.532,1.658,0.0228878800328196
"WABH MMW 0.9 adapt pm",36.342,35.81,0.532,0.0229731468068647
"WABH MMW mean_pm camt pm",74.556,73.24,1.316,0.014909818850751
"WABH MMW 0.5 camt pm",81.092,79.696,1.396,0.0158475785673146
"WABH MMW 0.9 camt pm",87.792,86.18,1.612,0.0175345206928731
"Ten Rule",51.302,50.336,0.966,0.0171301457790741
"Adaptive BH",38.674,38.202,0.472,0.0100113691601472
"Regular BH",38.402,37.934,0.468,0.0100106898484388
"IHW",51.784,50.934,0.85,0.0145034816051611
"ADAPT",70.684,68.784,1.9,0.0227869155045447
"SWFDR",67.622,39.196,28.426,0.136474114059532
"CAMT",154.916,148.656,6.26,0.0425279501824071
