"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",242.552,237.618,4.934,0.0203542539751649
"WABH MMW mean_pm adapt pm",283.45,276.41,7.04,0.0248649077951644
"WABH MMW 0.5 adapt pm",279.094,272.296,6.798,0.0243524634555006
"WABH MMW 0.9 adapt pm",165.374,161.93,3.444,0.0237491630737962
"WABH MMW mean_pm camt pm",276.592,269.776,6.816,0.0249917312005184
"WABH MMW 0.5 camt pm",266.618,260.274,6.344,0.0242713431310324
"WABH MMW 0.9 camt pm",182.708,178.85,3.858,0.0207387537103543
"Ten Rule",239.764,235.004,4.76,0.0198763953438664
"Adaptive BH",240.632,235.692,4.94,0.0205409846417046
"Regular BH",239.65,234.886,4.764,0.0198968617969538
"IHW",242.956,238.27,4.686,0.0193271797888603
"ADAPT",223.426,218.554,4.872,0.021213525890445
"SWFDR",239.728,234.936,4.792,0.0200118126277587
"CAMT",295.426,286.892,8.534,0.0286240013880729
