"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",6.728,6.556,0.172,0.0180612853366779
"WABH MMW mean_pm adapt pm",8.078,7.796,0.282,0.0253556748645454
"WABH MMW 0.5 adapt pm",8.248,7.972,0.276,0.0300069090262104
"WABH MMW 0.9 adapt pm",4.85,4.678,0.172,0.0328436638763856
"WABH MMW mean_pm camt pm",16.36,15.902,0.458,0.0240552844876191
"WABH MMW 0.5 camt pm",17.31,16.874,0.436,0.024746930135096
"WABH MMW 0.9 camt pm",17.2,16.77,0.43,0.0261266306341117
"Ten Rule",6.136,5.982,0.154,0.0176250197791368
"Adaptive BH",4.52,4.414,0.106,0.0143247619424393
"Regular BH",4.516,4.41,0.106,0.0143580952757726
"IHW",6.966,6.764,0.202,0.0190396591787675
"ADAPT",8.71,8.188,0.522,0.0153166285167997
"SWFDR",18.326,4.604,13.722,0.165230934360695
"CAMT",36.002,32.362,3.64,0.10579466366271
