"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.548,0.528,0.02,0.0102333333333333
"WABH MMW mean_pm adapt pm",2.232,2.166,0.066,0.0125475205851367
"WABH MMW 0.5 adapt pm",3.07,2.988,0.082,0.0176484611970002
"WABH MMW 0.9 adapt pm",2.514,2.446,0.068,0.0278872964515151
"WABH MMW mean_pm camt pm",15.142,14.7,0.442,0.0264271034622356
"WABH MMW 0.5 camt pm",15.352,14.914,0.438,0.0257449763421262
"WABH MMW 0.9 camt pm",15.468,15.062,0.406,0.0249997866783754
"Ten Rule",0.498,0.478,0.02,0.0107333333333333
"Adaptive BH",0.502,0.482,0.02,0.0107333333333333
"Regular BH",0.498,0.478,0.02,0.0107333333333333
"IHW",0.712,0.686,0.026,0.01165
"ADAPT",5.126,4.896,0.23,0.00649169716096893
"SWFDR",0.572,0.508,0.064,0.0248
"CAMT",70.452,65.708,4.744,0.0642082213757826
