"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.132,0.112,0.02,0.015
"WABH MMW mean_pm adapt pm",0.16,0.132,0.028,0.024
"WABH MMW 0.5 adapt pm",0.196,0.162,0.034,0.0276190476190476
"WABH MMW 0.9 adapt pm",0.208,0.15,0.058,0.0417857142857143
"WABH MMW mean_pm camt pm",4.218,3.954,0.264,0.0551815984239359
"WABH MMW 0.5 camt pm",4.334,4.092,0.242,0.0496354295025953
"WABH MMW 0.9 camt pm",4.018,3.828,0.19,0.0409308013881543
"Ten Rule",0.11,0.096,0.014,0.0116666666666667
"Adaptive BH",0.11,0.096,0.014,0.0116666666666667
"Regular BH",0.11,0.096,0.014,0.0116666666666667
"IHW",0.134,0.114,0.02,0.0130666666666667
"ADAPT",0,0,0,0
"SWFDR",0.208,0.102,0.106,0.0362666666666667
"CAMT",20.312,16.508,3.804,0.217071598576691
