"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",23.498,22.836,0.662,0.0250541591047834
"WABH MMW mean_pm adapt pm",27.794,26.914,0.88,0.0293072506268647
"WABH MMW 0.5 adapt pm",26.83,25.968,0.862,0.0311553886602677
"WABH MMW 0.9 adapt pm",13.322,12.89,0.432,0.0522265523077612
"WABH MMW mean_pm camt pm",36.106,35.214,0.892,0.0245566985088772
"WABH MMW 0.5 camt pm",37.38,36.536,0.844,0.0213299925419683
"WABH MMW 0.9 camt pm",33.584,32.906,0.678,0.0193348866145592
"Ten Rule",23.768,23.158,0.61,0.0226159315577495
"Adaptive BH",21.29,20.918,0.372,0.0163403871133655
"Regular BH",21.278,20.906,0.372,0.0163424542968281
"IHW",24.392,23.77,0.622,0.0213186166560499
"ADAPT",25.852,24.78,1.072,0.0247398690350364
"SWFDR",31.58,21.038,10.542,0.0906594463447047
"CAMT",54.156,50.384,3.772,0.0746232984838136
