"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.638,9.454,0.184,0.0128838945170347
"WABH MMW mean_pm adapt pm",12.646,12.314,0.332,0.0212115389828806
"WABH MMW 0.5 adapt pm",12.868,12.442,0.426,0.0303987217649671
"WABH MMW 0.9 adapt pm",6.82,6.568,0.252,0.0234203469562825
"WABH MMW mean_pm camt pm",28.192,27.254,0.938,0.0329763801723028
"WABH MMW 0.5 camt pm",28.726,27.816,0.91,0.0301857302860607
"WABH MMW 0.9 camt pm",26.608,25.812,0.796,0.0294128067916021
"Ten Rule",8.954,8.768,0.186,0.0134038807284234
"Adaptive BH",7.834,7.718,0.116,0.0100657733989138
"Regular BH",7.822,7.706,0.116,0.0100731263400903
"IHW",10.676,10.42,0.256,0.016760322725665
"ADAPT",11.258,10.682,0.576,0.016522061766165
"SWFDR",9.136,7.868,1.268,0.0586364087885181
"CAMT",50.816,46.494,4.322,0.0832340764263364
