"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.468,0.45,0.018,0.0120666666666667
"WABH MMW mean_pm adapt pm",1.07,1.044,0.026,0.00720555555555556
"WABH MMW 0.5 adapt pm",1.632,1.58,0.052,0.0153423223834989
"WABH MMW 0.9 adapt pm",1.472,1.416,0.056,0.0345784493284493
"WABH MMW mean_pm camt pm",2.984,2.864,0.12,0.0221344416030908
"WABH MMW 0.5 camt pm",3.478,3.36,0.118,0.0191090488856891
"WABH MMW 0.9 camt pm",4.932,4.79,0.142,0.0193880269130495
"Ten Rule",0.352,0.34,0.012,0.0095
"Adaptive BH",0.224,0.202,0.022,0.0104285714285714
"Regular BH",0.224,0.202,0.022,0.0104285714285714
"IHW",0.32,0.298,0.022,0.00911111111111111
"ADAPT",2.638,2.522,0.116,0.00334940137999456
"SWFDR",20.026,1.198,18.828,0.161399560440793
"CAMT",40.122,36.734,3.388,0.0935061749032815
