"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",23.342,22.702,0.64,0.024514564469264
"WABH MMW mean_pm adapt pm",27.16,26.284,0.876,0.0284093620059404
"WABH MMW 0.5 adapt pm",25.908,25.062,0.846,0.032265058874866
"WABH MMW 0.9 adapt pm",13.484,13.098,0.386,0.0350222720059271
"WABH MMW mean_pm camt pm",35.976,35.054,0.922,0.0220352712079289
"WABH MMW 0.5 camt pm",37.354,36.442,0.912,0.0239225633417021
"WABH MMW 0.9 camt pm",32.962,32.218,0.744,0.0214569849095186
"Ten Rule",23.734,23.152,0.582,0.0209437650907795
"Adaptive BH",21.238,20.892,0.346,0.0117930924058509
"Regular BH",21.222,20.878,0.344,0.0116597590725176
"IHW",24.19,23.646,0.544,0.0176147225321117
"ADAPT",25.282,24.156,1.126,0.0255091423933772
"SWFDR",37.812,21.078,16.734,0.130925250291987
"CAMT",54.392,50.072,4.32,0.0791397706755787
