"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",41.234,40.286,0.948,0.0221477576375037
"WABH MMW mean_pm adapt pm",47.716,46.24,1.476,0.0293021163886142
"WABH MMW 0.5 adapt pm",46.798,45.282,1.516,0.0311525472696332
"WABH MMW 0.9 adapt pm",25.526,24.686,0.84,0.0280995880729991
"WABH MMW mean_pm camt pm",61.916,60.122,1.794,0.0291111346356747
"WABH MMW 0.5 camt pm",61.148,59.508,1.64,0.0270522519090142
"WABH MMW 0.9 camt pm",52.048,50.762,1.286,0.0246995995283228
"Ten Rule",40.72,39.798,0.922,0.0216327979344784
"Adaptive BH",40.724,39.792,0.932,0.0218609721352961
"Regular BH",40.67,39.75,0.92,0.0216095195365352
"IHW",42.16,41.16,1,0.022743581603668
"ADAPT",38.726,37.302,1.424,0.0300196265025773
"SWFDR",40.95,39.964,0.986,0.02301213168073
"CAMT",73.896,69.422,4.474,0.0583808462682536
