"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",52.622,51.514,1.108,0.0223901948296961
"WABH MMW mean_pm adapt pm",77.806,76.118,1.688,0.0220567090033527
"WABH MMW 0.5 adapt pm",76.694,75.058,1.636,0.0230167401946132
"WABH MMW 0.9 adapt pm",35.01,34.482,0.528,0.0227486383710765
"WABH MMW mean_pm camt pm",74.428,73.104,1.324,0.0150929017120249
"WABH MMW 0.5 camt pm",80.882,79.53,1.352,0.0149189112479865
"WABH MMW 0.9 camt pm",88.098,86.586,1.512,0.016126318340571
"Ten Rule",51.398,50.318,1.08,0.0218105333928348
"Adaptive BH",38.704,38.192,0.512,0.0128278905587323
"Regular BH",38.36,37.868,0.492,0.0125058594552871
"IHW",51.874,50.866,1.008,0.0187289687228922
"ADAPT",67.81,65.906,1.904,0.0239856538263899
"SWFDR",62.43,38.862,23.568,0.130355108266124
"CAMT",155.58,149.408,6.172,0.0412664738477888
