"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.086,0.078,0.008,0.008
"WABH MMW mean_pm adapt pm",0.144,0.122,0.022,0.0161666666666667
"WABH MMW 0.5 adapt pm",0.194,0.164,0.03,0.0244
"WABH MMW 0.9 adapt pm",0.194,0.15,0.044,0.0396666666666667
"WABH MMW mean_pm camt pm",2.666,2.476,0.19,0.0455420162917411
"WABH MMW 0.5 camt pm",2.77,2.59,0.18,0.0497497708071083
"WABH MMW 0.9 camt pm",2.758,2.598,0.16,0.0514013336336866
"Ten Rule",0.078,0.066,0.012,0.00966666666666667
"Adaptive BH",0.064,0.05,0.014,0.00866666666666667
"Regular BH",0.064,0.05,0.014,0.00866666666666667
"IHW",0.062,0.048,0.014,0.00866666666666667
"ADAPT",0.136,0.124,0.012,0.000308004052684904
"SWFDR",1.234,0.058,1.176,0.0761446243814665
"CAMT",16.116,12.734,3.382,0.227671495463476
