"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.104,0.09,0.014,0.012
"WABH MMW mean_pm adapt pm",0.136,0.122,0.014,0.013
"WABH MMW 0.5 adapt pm",0.222,0.194,0.028,0.0216190476190476
"WABH MMW 0.9 adapt pm",0.184,0.152,0.032,0.0229555555555556
"WABH MMW mean_pm camt pm",1.576,1.444,0.132,0.0344664718322613
"WABH MMW 0.5 camt pm",1.63,1.508,0.122,0.0298962565212565
"WABH MMW 0.9 camt pm",1.736,1.62,0.116,0.0323816461316461
"Ten Rule",0.096,0.08,0.016,0.0113333333333333
"Adaptive BH",0.072,0.064,0.008,0.00533333333333333
"Regular BH",0.072,0.064,0.008,0.00533333333333333
"IHW",0.072,0.062,0.01,0.00733333333333333
"ADAPT",0.204,0.174,0.03,0.00116025641025641
"SWFDR",1.156,0.078,1.078,0.0878511069882498
"CAMT",14.948,11.068,3.88,0.262317482671072
