"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",41.166,40.19,0.976,0.0226260072730954
"WABH MMW mean_pm adapt pm",47.3,45.758,1.542,0.031326924455969
"WABH MMW 0.5 adapt pm",46.18,44.556,1.624,0.034175885535967
"WABH MMW 0.9 adapt pm",24.186,23.348,0.838,0.0436055086684948
"WABH MMW mean_pm camt pm",63.14,61.382,1.758,0.0281302097073072
"WABH MMW 0.5 camt pm",62.164,60.578,1.586,0.025896700459593
"WABH MMW 0.9 camt pm",50.248,49.176,1.072,0.0215990696953819
"Ten Rule",40.68,39.71,0.97,0.0226849672630381
"Adaptive BH",40.686,39.716,0.97,0.0226855354426639
"Regular BH",40.65,39.692,0.958,0.02241806089879
"IHW",41.796,40.796,1,0.0228049902641844
"ADAPT",37.454,35.784,1.67,0.0345084957907172
"SWFDR",40.882,39.828,1.054,0.0245089797457283
"CAMT",73.802,69.514,4.288,0.0560171802254697
