"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",103.924,101.74,2.184,0.0201246842847001
"WABH MMW mean_pm adapt pm",150.772,147.092,3.68,0.0246700043349918
"WABH MMW 0.5 adapt pm",147.386,144.01,3.376,0.023418696638232
"WABH MMW 0.9 adapt pm",66.374,65.292,1.082,0.0184494418069816
"WABH MMW mean_pm camt pm",171.75,167.712,4.038,0.0244859537861696
"WABH MMW 0.5 camt pm",167.218,163.466,3.752,0.0235416535300972
"WABH MMW 0.9 camt pm",137.88,135.076,2.804,0.0213015551494531
"Ten Rule",100.424,98.39,2.034,0.0192868908575576
"Adaptive BH",101.134,99.026,2.108,0.0199007818286604
"Regular BH",100.242,98.216,2.026,0.0192594832934933
"IHW",109.276,107.006,2.27,0.019964323127753
"ADAPT",114.398,111.218,3.18,0.0250878070012007
"SWFDR",100.572,98.506,2.066,0.0196376433509363
"CAMT",220.984,213.194,7.79,0.0349179523414084
