"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.412,9.2,0.212,0.015562086265031
"WABH MMW mean_pm adapt pm",12.24,11.842,0.398,0.0304388329166996
"WABH MMW 0.5 adapt pm",12.392,11.97,0.422,0.0366519768435572
"WABH MMW 0.9 adapt pm",6.612,6.394,0.218,0.0389896108725012
"WABH MMW mean_pm camt pm",28.624,27.666,0.958,0.0326857301863384
"WABH MMW 0.5 camt pm",29.372,28.442,0.93,0.0311093078903457
"WABH MMW 0.9 camt pm",27.06,26.264,0.796,0.0282658988570052
"Ten Rule",8.894,8.694,0.2,0.0156790055669924
"Adaptive BH",7.76,7.63,0.13,0.0103381048394133
"Regular BH",7.746,7.618,0.128,0.0102809398681616
"IHW",10.33,10.094,0.236,0.0152928587427636
"ADAPT",11.83,11.256,0.574,0.0157804267528455
"SWFDR",9.424,7.728,1.696,0.0583262662480006
"CAMT",50.716,46.526,4.19,0.0819239806292034
