"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",52.874,51.774,1.1,0.02054791251974
"WABH MMW mean_pm adapt pm",77.004,75.292,1.712,0.0217055378370919
"WABH MMW 0.5 adapt pm",75.482,73.894,1.588,0.0212398403167681
"WABH MMW 0.9 adapt pm",33.788,33.226,0.562,0.0247001292349077
"WABH MMW mean_pm camt pm",74.748,73.398,1.35,0.0146654528030089
"WABH MMW 0.5 camt pm",81.238,79.824,1.414,0.0157907759493339
"WABH MMW 0.9 camt pm",87.44,85.906,1.534,0.0166883021425058
"Ten Rule",51.646,50.566,1.08,0.0192749728793391
"Adaptive BH",39.08,38.53,0.55,0.0141936951116836
"Regular BH",38.808,38.264,0.544,0.0141746497736197
"IHW",52.308,51.232,1.076,0.0193748248040342
"ADAPT",68.178,66.28,1.898,0.0229451416872256
"SWFDR",71.762,39.642,32.12,0.166654522925505
"CAMT",154.71,148.276,6.434,0.0431406868617058
