"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.114,0.1,0.014,0.0106666666666667
"WABH MMW mean_pm adapt pm",0.206,0.184,0.022,0.0129
"WABH MMW 0.5 adapt pm",0.244,0.22,0.024,0.0224
"WABH MMW 0.9 adapt pm",0.294,0.262,0.032,0.0284202898550725
"WABH MMW mean_pm camt pm",0.446,0.38,0.066,0.0339
"WABH MMW 0.5 camt pm",0.424,0.378,0.046,0.0266151515151515
"WABH MMW 0.9 camt pm",0.47,0.41,0.06,0.0354532051282051
"Ten Rule",0.086,0.072,0.014,0.0116666666666667
"Adaptive BH",0.068,0.036,0.032,0.017
"Regular BH",0.068,0.036,0.032,0.017
"IHW",0.072,0.038,0.034,0.018
"ADAPT",0.194,0.162,0.032,0.00089909762100082
"SWFDR",12.504,0.17,12.334,0.179367069977948
"CAMT",6.832,4.42,2.412,0.218419583385809
