"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.078,0.076,0.002,0.001
"WABH MMW mean_pm adapt pm",0.158,0.138,0.02,0.0140666666666667
"WABH MMW 0.5 adapt pm",0.216,0.194,0.022,0.0134555555555556
"WABH MMW 0.9 adapt pm",0.218,0.192,0.026,0.0214
"WABH MMW mean_pm camt pm",3.438,3.146,0.292,0.0666627824360023
"WABH MMW 0.5 camt pm",3.456,3.194,0.262,0.0629478651963791
"WABH MMW 0.9 camt pm",3.266,3.054,0.212,0.058275472393104
"Ten Rule",0.066,0.064,0.002,0.001
"Adaptive BH",0.066,0.064,0.002,0.001
"Regular BH",0.066,0.064,0.002,0.001
"IHW",0.066,0.066,0,0
"ADAPT",0.154,0.138,0.016,0.00065974025974026
"SWFDR",0.122,0.068,0.054,0.02475
"CAMT",18.266,14.548,3.718,0.221221948076251
