"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.078,0.062,0.016,0.0136666666666667
"WABH MMW mean_pm adapt pm",0.126,0.114,0.012,0.00683333333333333
"WABH MMW 0.5 adapt pm",0.206,0.186,0.02,0.0163333333333333
"WABH MMW 0.9 adapt pm",0.268,0.226,0.042,0.0366666666666667
"WABH MMW mean_pm camt pm",0.506,0.428,0.078,0.0266916813578578
"WABH MMW 0.5 camt pm",0.51,0.452,0.058,0.0284596994792647
"WABH MMW 0.9 camt pm",0.608,0.536,0.072,0.0341351073762838
"Ten Rule",0.068,0.054,0.014,0.0116666666666667
"Adaptive BH",0.066,0.036,0.03,0.011
"Regular BH",0.066,0.036,0.03,0.011
"IHW",0.07,0.038,0.032,0.012
"ADAPT",0.092,0.086,0.006,0.000130434782608696
"SWFDR",15.228,0.182,15.046,0.145886626334461
"CAMT",7.098,4.926,2.172,0.204454132743417
