"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.084,0.07,0.014,0.00866666666666667
"WABH MMW mean_pm adapt pm",0.134,0.102,0.032,0.022
"WABH MMW 0.5 adapt pm",0.198,0.172,0.026,0.0223333333333333
"WABH MMW 0.9 adapt pm",0.134,0.114,0.02,0.02
"WABH MMW mean_pm camt pm",1.844,1.708,0.136,0.0344745972981267
"WABH MMW 0.5 camt pm",1.942,1.792,0.15,0.0407416265880662
"WABH MMW 0.9 camt pm",2.02,1.878,0.142,0.0348831665066959
"Ten Rule",0.066,0.06,0.006,0.00466666666666667
"Adaptive BH",0.06,0.052,0.008,0.004
"Regular BH",0.06,0.052,0.008,0.004
"IHW",0.06,0.052,0.008,0.004
"ADAPT",0.084,0.06,0.024,0.00115454545454545
"SWFDR",1.604,0.066,1.538,0.0768691588785047
"CAMT",15.576,11.904,3.672,0.251418780250528
