"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.556,9.32,0.236,0.0170133244242401
"WABH MMW mean_pm adapt pm",12.244,11.866,0.378,0.0203919592854943
"WABH MMW 0.5 adapt pm",12.402,11.986,0.416,0.0235941431946772
"WABH MMW 0.9 adapt pm",6.188,5.926,0.262,0.0388430848438391
"WABH MMW mean_pm camt pm",29.678,28.72,0.958,0.0319331518323943
"WABH MMW 0.5 camt pm",30.344,29.43,0.914,0.0305172842719095
"WABH MMW 0.9 camt pm",27.79,27.032,0.758,0.0317623776663466
"Ten Rule",8.962,8.76,0.202,0.0160756454623765
"Adaptive BH",7.824,7.694,0.13,0.0123868650410535
"Regular BH",7.8,7.672,0.128,0.0123127909669795
"IHW",10.36,10.092,0.268,0.0178463262618865
"ADAPT",11.76,11.124,0.636,0.0171953648007208
"SWFDR",9.27,7.828,1.442,0.0636178074872476
"CAMT",51.046,47.162,3.884,0.0749317357549057
