"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",82.786,81.182,1.604,0.0187708758631676
"WABH MMW mean_pm adapt pm",122.618,119.55,3.068,0.0252168368701487
"WABH MMW 0.5 adapt pm",119.694,116.83,2.864,0.0251083712487509
"WABH MMW 0.9 adapt pm",55.304,54.338,0.966,0.0261006577361825
"WABH MMW mean_pm camt pm",126.982,123.858,3.124,0.0244453765315752
"WABH MMW 0.5 camt pm",128.064,125.07,2.994,0.0233886705057038
"WABH MMW 0.9 camt pm",119.668,117.2,2.468,0.0205800544156109
"Ten Rule",80.876,79.308,1.568,0.0188077304683721
"Adaptive BH",74.298,73.064,1.234,0.0156733067880589
"Regular BH",73.582,72.388,1.194,0.0153178206632864
"IHW",84.944,83.356,1.588,0.0176957731680472
"ADAPT",100.432,97.62,2.812,0.0248812729632501
"SWFDR",76.364,72.78,3.584,0.0397643585983823
"CAMT",198.132,190.826,7.306,0.0364940654392104
