"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",23.526,22.938,0.588,0.0210484965985427
"WABH MMW mean_pm adapt pm",27.75,26.894,0.856,0.0234274342691914
"WABH MMW 0.5 adapt pm",26.746,25.894,0.852,0.0286335137041487
"WABH MMW 0.9 adapt pm",12.814,12.46,0.354,0.0255136346967262
"WABH MMW mean_pm camt pm",35.714,34.794,0.92,0.0272464265093642
"WABH MMW 0.5 camt pm",36.96,36.082,0.878,0.0233745652369741
"WABH MMW 0.9 camt pm",33.486,32.73,0.756,0.0210992419986208
"Ten Rule",23.96,23.38,0.58,0.0195703888461829
"Adaptive BH",21.398,21.046,0.352,0.0169793406054855
"Regular BH",21.39,21.038,0.352,0.0169793406054855
"IHW",24.404,23.872,0.532,0.0190252674993393
"ADAPT",25.434,24.452,0.982,0.02303287871046
"SWFDR",39.018,21.234,17.784,0.113702228690173
"CAMT",53.83,49.77,4.06,0.0836600973631614
