"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",11.384,11.134,0.25,0.0162488289950922
"WABH MMW mean_pm adapt pm",15.68,15.168,0.512,0.0256292628182162
"WABH MMW 0.5 adapt pm",15.836,15.296,0.54,0.0292372614494909
"WABH MMW 0.9 adapt pm",7.622,7.354,0.268,0.0207796317862037
"WABH MMW mean_pm camt pm",39.594,38.382,1.212,0.0323669972880922
"WABH MMW 0.5 camt pm",39.282,38.154,1.128,0.0304713960159085
"WABH MMW 0.9 camt pm",34.68,33.772,0.908,0.0279853578905724
"Ten Rule",10.736,10.522,0.214,0.0142294231427286
"Adaptive BH",10.772,10.554,0.218,0.0145294231427286
"Regular BH",10.71,10.496,0.214,0.0142294231427286
"IHW",13.178,12.886,0.292,0.0171872014107452
"ADAPT",12.716,12.104,0.612,0.0170694288665568
"SWFDR",10.972,10.694,0.278,0.0202569493927342
"CAMT",57.024,52.978,4.046,0.067206579558246
