"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"370",62,59,3,64,63,1,62,62,0,53,52,1,75,74,1,72,71,1,57,57,0,58,57,1,58,57,1,58,57,1,62,59,3,49,49,0,62,59,3,71,69,2
"371",37,36,1,37,36,1,37,36,1,9,9,0,64,62,2,62,60,2,56,54,2,36,35,1,36,35,1,36,35,1,41,40,1,46,43,3,36,35,1,75,72,3
"372",32,32,0,48,48,0,50,48,2,45,43,2,55,54,1,54,53,1,53,53,0,35,35,0,35,35,0,35,35,0,36,36,0,48,48,0,35,35,0,64,61,3
"373",41,40,1,37,35,2,29,27,2,11,10,1,70,64,6,68,63,5,35,32,3,44,42,2,44,42,2,44,42,2,45,42,3,36,36,0,45,42,3,71,63,8
"374",41,38,3,46,44,2,47,45,2,1,1,0,60,59,1,61,60,1,57,56,1,41,38,3,41,38,3,41,38,3,42,40,2,58,53,5,41,38,3,73,68,5
"375",29,29,0,51,49,2,57,55,2,0,0,0,67,66,1,67,66,1,65,65,0,29,29,0,29,29,0,29,29,0,35,34,1,56,55,1,29,29,0,90,80,10
"376",40,39,1,28,26,2,15,15,0,0,0,0,62,59,3,61,58,3,56,54,2,39,38,1,39,38,1,39,38,1,40,39,1,0,0,0,39,38,1,87,74,13
"377",37,36,1,36,35,1,35,34,1,1,0,1,61,59,2,59,57,2,58,56,2,37,36,1,37,36,1,37,36,1,32,31,1,38,37,1,37,36,1,75,72,3
"378",27,25,2,51,46,5,52,48,4,0,0,0,54,49,5,54,50,4,49,46,3,27,25,2,27,25,2,27,25,2,29,27,2,40,39,1,28,26,2,64,59,5
"379",29,29,0,41,40,1,38,37,1,17,15,2,45,43,2,44,42,2,34,33,1,31,31,0,31,31,0,31,31,0,32,32,0,23,23,0,31,31,0,55,51,4
"380",50,44,6,46,43,3,42,39,3,35,34,1,66,66,0,66,66,0,64,64,0,50,44,6,50,44,6,50,44,6,49,45,4,47,43,4,50,44,6,85,80,5
"381",42,42,0,48,47,1,47,46,1,12,12,0,55,54,1,55,54,1,52,52,0,42,42,0,42,42,0,42,42,0,44,44,0,43,40,3,42,42,0,73,63,10
"382",36,36,0,29,29,0,24,24,0,3,3,0,58,57,1,56,55,1,50,49,1,35,35,0,35,35,0,35,35,0,38,38,0,24,24,0,35,35,0,71,67,4
"383",56,55,1,71,68,3,74,71,3,1,1,0,82,81,1,82,81,1,70,69,1,56,55,1,56,55,1,56,55,1,56,56,0,70,69,1,56,55,1,95,93,2
"384",44,42,2,64,59,5,64,60,4,1,1,0,68,67,1,67,66,1,61,61,0,43,41,2,43,41,2,43,41,2,41,40,1,42,42,0,44,42,2,81,79,2
"385",41,40,1,52,52,0,53,52,1,28,27,1,62,62,0,62,62,0,51,51,0,40,39,1,40,39,1,40,39,1,40,40,0,34,34,0,40,39,1,76,76,0
"386",52,51,1,65,63,2,66,64,2,0,0,0,65,63,2,71,68,3,60,58,2,50,49,1,50,49,1,50,49,1,58,58,0,62,58,4,50,49,1,91,83,8
"387",44,44,0,40,38,2,29,27,2,11,10,1,55,48,7,51,44,7,33,27,6,46,45,1,46,45,1,46,45,1,42,42,0,24,23,1,46,45,1,69,61,8
"388",28,28,0,45,44,1,43,42,1,30,30,0,48,47,1,46,45,1,45,44,1,28,28,0,28,28,0,28,28,0,29,28,1,23,23,0,29,28,1,66,64,2
"389",45,43,2,47,44,3,50,46,4,1,1,0,72,71,1,68,68,0,57,57,0,44,42,2,44,42,2,44,42,2,43,42,1,50,47,3,44,42,2,81,80,1
"390",43,42,1,55,55,0,60,60,0,63,59,4,57,56,1,54,53,1,47,46,1,43,42,1,43,42,1,43,42,1,48,47,1,53,53,0,43,42,1,73,68,5
"391",54,54,0,62,60,2,54,53,1,8,8,0,78,73,5,75,70,5,24,23,1,52,52,0,52,52,0,52,52,0,54,53,1,28,28,0,56,55,1,64,59,5
"392",39,39,0,39,37,2,34,32,2,9,8,1,60,58,2,59,57,2,13,13,0,39,39,0,39,39,0,39,39,0,39,39,0,0,0,0,39,39,0,74,72,2
"393",44,42,2,53,51,2,52,51,1,57,55,2,71,71,0,69,69,0,61,61,0,41,41,0,41,41,0,41,41,0,41,39,2,33,33,0,41,41,0,85,85,0
"394",33,33,0,42,41,1,41,40,1,7,7,0,66,60,6,67,61,6,63,57,6,31,31,0,31,31,0,31,31,0,45,44,1,61,57,4,31,31,0,69,66,3
"395",39,39,0,47,46,1,46,45,1,1,1,0,64,63,1,62,60,2,53,51,2,39,39,0,39,39,0,39,39,0,41,41,0,42,40,2,39,39,0,75,71,4
"396",41,41,0,54,51,3,57,53,4,0,0,0,68,68,0,70,70,0,65,65,0,41,41,0,41,41,0,41,41,0,39,39,0,31,29,2,41,41,0,76,76,0
"397",52,50,2,31,31,0,20,20,0,1,1,0,66,65,1,64,63,1,1,1,0,50,49,1,50,49,1,50,49,1,52,50,2,63,59,4,50,49,1,66,64,2
"398",53,53,0,63,59,4,60,58,2,0,0,0,67,66,1,65,65,0,53,53,0,53,52,1,53,52,1,53,52,1,52,52,0,37,36,1,53,52,1,83,76,7
"399",49,47,2,46,44,2,51,47,4,35,31,4,61,57,4,59,55,4,49,47,2,45,44,1,45,44,1,45,44,1,44,43,1,24,23,1,47,46,1,72,62,10
"400",34,33,1,46,44,2,46,45,1,32,31,1,60,59,1,60,59,1,44,43,1,34,33,1,34,33,1,34,33,1,33,32,1,47,46,1,34,33,1,70,69,1
"401",51,49,2,67,66,1,74,72,2,68,67,1,82,81,1,82,81,1,76,75,1,50,48,2,50,48,2,50,48,2,51,50,1,83,72,11,50,48,2,93,86,7
"402",36,35,1,63,60,3,66,63,3,0,0,0,72,68,4,74,70,4,71,66,5,35,35,0,35,35,0,35,35,0,37,36,1,62,59,3,35,35,0,106,87,19
"403",32,31,1,51,49,2,55,52,3,1,1,0,63,61,2,63,61,2,60,59,1,32,31,1,32,31,1,32,31,1,35,34,1,42,40,2,33,31,2,72,70,2
"404",50,49,1,58,57,1,61,59,2,46,46,0,73,68,5,71,66,5,60,56,4,50,49,1,50,49,1,50,49,1,53,52,1,64,61,3,50,49,1,78,72,6
"405",51,50,1,54,51,3,48,45,3,24,22,2,65,58,7,64,57,7,58,51,7,51,50,1,51,50,1,51,50,1,49,49,0,43,41,2,51,50,1,75,69,6
"406",40,39,1,52,50,2,52,50,2,51,48,3,66,64,2,65,64,1,47,47,0,42,39,3,42,39,3,42,39,3,42,40,2,52,52,0,42,39,3,85,81,4
"407",32,31,1,36,35,1,33,32,1,5,4,1,47,47,0,48,48,0,44,44,0,32,31,1,32,31,1,32,31,1,34,34,0,26,25,1,32,31,1,54,54,0
"408",32,32,0,38,37,1,34,32,2,21,21,0,52,50,2,52,50,2,45,43,2,32,32,0,32,32,0,32,32,0,34,33,1,43,36,7,33,33,0,75,56,19
"409",34,34,0,46,45,1,48,46,2,0,0,0,54,52,2,54,52,2,46,44,2,34,34,0,34,34,0,34,34,0,34,34,0,22,21,1,34,34,0,66,62,4
