"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"352",29,28,1,37,34,3,32,29,3,0,0,0,47,44,3,48,45,3,44,41,3,29,28,1,29,28,1,29,28,1,26,25,1,35,33,2,29,28,1,52,50,2
"353",41,38,3,54,53,1,56,54,2,0,0,0,48,47,1,54,53,1,54,53,1,35,35,0,33,33,0,33,33,0,37,35,2,41,40,1,33,33,0,76,74,2
"354",2,2,0,8,7,1,3,2,1,0,0,0,30,29,1,34,33,1,33,32,1,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,65,58,7
"355",23,22,1,18,17,1,16,15,1,5,5,0,22,22,0,27,26,1,14,14,0,22,21,1,21,20,1,21,20,1,21,20,1,0,0,0,21,20,1,37,35,2
"356",42,42,0,63,61,2,67,63,4,44,41,3,43,43,0,52,52,0,57,57,0,40,40,0,33,33,0,33,33,0,36,36,0,52,52,0,65,33,32,90,82,8
"357",14,14,0,27,27,0,24,24,0,3,3,0,54,52,2,54,52,2,51,50,1,17,17,0,12,12,0,12,12,0,19,19,0,28,27,1,12,12,0,69,63,6
"358",26,26,0,35,35,0,37,37,0,20,20,0,46,45,1,44,44,0,39,39,0,26,26,0,22,22,0,22,22,0,28,28,0,30,30,0,22,22,0,54,53,1
"359",12,12,0,20,20,0,20,20,0,1,0,1,20,19,1,20,19,1,17,17,0,12,12,0,10,10,0,10,10,0,17,17,0,0,0,0,10,10,0,20,20,0
"360",24,23,1,32,30,2,31,28,3,0,0,0,29,27,2,28,27,1,28,27,1,25,24,1,20,19,1,20,19,1,26,25,1,30,28,2,20,19,1,48,44,4
"361",39,39,0,49,48,1,49,48,1,35,34,1,72,72,0,73,73,0,57,57,0,38,38,0,30,30,0,30,30,0,37,37,0,52,52,0,30,30,0,84,84,0
"362",41,41,0,46,45,1,44,44,0,28,28,0,63,59,4,65,61,4,60,57,3,38,38,0,36,36,0,36,36,0,45,45,0,55,55,0,36,36,0,85,80,5
"363",51,50,1,57,56,1,63,62,1,0,0,0,75,70,5,74,69,5,31,31,0,50,49,1,47,46,1,47,46,1,50,49,1,65,64,1,47,46,1,82,75,7
"364",17,17,0,4,4,0,4,4,0,0,0,0,24,24,0,26,26,0,23,23,0,20,20,0,8,8,0,8,8,0,16,16,0,0,0,0,9,9,0,49,46,3
"365",3,3,0,3,3,0,2,2,0,0,0,0,7,7,0,7,7,0,4,4,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,49,36,13
"366",21,21,0,22,22,0,22,22,0,0,0,0,40,38,2,41,39,2,34,33,1,21,21,0,14,14,0,14,14,0,21,21,0,43,40,3,14,14,0,43,42,1
"367",7,7,0,6,6,0,6,6,0,0,0,0,9,9,0,9,9,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,0,0,0,6,6,0,8,8,0
"368",11,11,0,12,11,1,10,9,1,2,2,0,10,10,0,10,10,0,12,11,1,11,11,0,11,11,0,11,11,0,11,11,0,0,0,0,11,11,0,17,13,4
"369",30,29,1,44,42,2,46,44,2,40,38,2,47,47,0,49,49,0,47,47,0,33,32,1,15,14,1,15,14,1,30,29,1,26,26,0,15,14,1,68,66,2
"370",11,11,0,30,30,0,30,29,1,7,7,0,45,43,2,48,46,2,44,43,1,19,19,0,13,13,0,13,13,0,21,21,0,33,33,0,13,13,0,59,56,3
"371",30,29,1,35,34,1,35,34,1,0,0,0,33,31,2,37,35,2,37,35,2,28,28,0,24,24,0,24,24,0,29,29,0,43,42,1,24,24,0,56,51,5
"372",2,2,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,3,3,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,6,6,0
"373",19,18,1,18,18,0,14,14,0,9,9,0,24,23,1,24,23,1,20,20,0,13,13,0,9,9,0,9,9,0,16,15,1,23,23,0,9,9,0,47,27,20
"374",47,44,3,55,54,1,55,53,2,0,0,0,60,59,1,60,59,1,50,49,1,46,44,2,39,39,0,39,39,0,46,44,2,51,48,3,39,39,0,70,67,3
"375",25,24,1,19,19,0,12,12,0,0,0,0,62,62,0,60,60,0,58,58,0,28,26,2,19,19,0,19,19,0,30,28,2,64,63,1,19,19,0,81,78,3
