"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"86",19,19,0,36,36,0,37,37,0,38,38,0,45,43,2,46,44,2,43,43,0,19,19,0,17,17,0,17,17,0,24,23,1,35,33,2,19,19,0,62,60,2
"87",0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,2
"88",8,7,1,8,8,0,7,7,0,1,1,0,5,5,0,5,5,0,4,4,0,9,8,1,2,2,0,2,2,0,5,5,0,0,0,0,2,2,0,27,27,0
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"90",28,28,0,20,20,0,16,16,0,11,11,0,45,43,2,44,42,2,40,40,0,17,17,0,16,16,0,16,16,0,31,30,1,0,0,0,16,16,0,51,49,2
"91",1,1,0,8,8,0,8,8,0,3,3,0,28,27,1,28,27,1,26,25,1,2,2,0,1,1,0,1,1,0,1,1,0,27,26,1,1,1,0,80,70,10
"92",22,22,0,31,31,0,31,31,0,27,27,0,41,39,2,40,38,2,30,29,1,22,22,0,12,12,0,12,12,0,20,20,0,33,31,2,16,14,2,58,53,5
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1
"94",4,4,0,5,4,1,4,4,0,0,0,0,19,17,2,19,17,2,19,17,2,4,4,0,4,4,0,4,4,0,4,4,0,0,0,0,4,4,0,30,25,5
"95",2,2,0,1,1,0,0,0,0,0,0,0,21,20,1,28,27,1,0,0,0,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,36,34,2
"96",15,14,1,11,11,0,8,8,0,0,0,0,13,13,0,23,22,1,22,22,0,12,12,0,7,7,0,7,7,0,16,15,1,30,30,0,7,7,0,56,49,7
"97",17,17,0,29,28,1,30,28,2,31,28,3,14,14,0,23,23,0,17,17,0,16,16,0,5,5,0,5,5,0,14,14,0,24,22,2,5,5,0,69,55,14
"98",4,4,0,17,17,0,18,17,1,1,0,1,12,12,0,16,16,0,20,20,0,5,5,0,4,4,0,4,4,0,3,3,0,22,22,0,120,4,116,48,46,2
"99",2,2,0,3,3,0,3,3,0,0,0,0,8,8,0,8,8,0,4,4,0,2,2,0,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,22,15,7
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
"101",6,6,0,6,6,0,8,8,0,7,7,0,21,20,1,19,19,0,16,16,0,6,6,0,5,5,0,5,5,0,7,7,0,0,0,0,5,5,0,30,28,2
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,2,2,0,2,2,0,4,4,0,2,2,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,5
"104",0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,17,17,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,52,17
"105",12,11,1,17,15,2,17,16,1,25,23,2,19,19,0,19,19,0,17,17,0,10,10,0,8,8,0,8,8,0,10,10,0,0,0,0,8,8,0,28,28,0
"106",2,2,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,7,1,6,0,0,0
"107",4,4,0,1,1,0,0,0,0,1,1,0,11,10,1,12,11,1,11,10,1,4,4,0,3,3,0,3,3,0,4,4,0,0,0,0,4,4,0,14,14,0
"108",0,0,0,1,1,0,3,3,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",20,19,1,17,16,1,10,9,1,0,0,0,41,39,2,41,39,2,40,38,2,20,19,1,19,19,0,19,19,0,18,18,0,30,29,1,19,19,0,45,43,2
"110",0,0,0,13,13,0,12,12,0,4,4,0,34,32,2,40,37,3,41,38,3,3,3,0,0,0,0,0,0,0,7,7,0,25,24,1,0,0,0,60,51,9
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",8,8,0,3,3,0,3,3,0,1,1,0,9,9,0,9,9,0,15,15,0,6,6,0,2,2,0,2,2,0,4,4,0,0,0,0,2,2,0,49,45,4
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,3,165,34,17,17
"114",8,8,0,10,10,0,11,11,0,11,11,0,10,10,0,9,9,0,7,7,0,8,8,0,8,8,0,8,8,0,8,8,0,0,0,0,8,8,0,14,14,0
"115",20,20,0,25,24,1,27,26,1,26,26,0,21,20,1,22,21,1,29,26,3,18,18,0,16,16,0,16,16,0,15,15,0,23,22,1,16,16,0,62,54,8
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",30,29,1,32,30,2,26,25,1,0,0,0,34,32,2,38,36,2,38,37,1,30,29,1,21,21,0,21,21,0,27,27,0,20,20,0,21,21,0,53,53,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,7
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,27,198,0,0,0
"121",3,3,0,5,5,0,6,5,1,4,3,1,8,7,1,8,7,1,13,10,3,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,41,35,6
"122",18,18,0,17,17,0,17,17,0,0,0,0,18,18,0,18,18,0,27,27,0,16,16,0,11,11,0,11,11,0,18,18,0,27,26,1,11,11,0,57,52,5
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,3
"124",8,8,0,9,9,0,9,9,0,3,3,0,16,16,0,18,18,0,21,21,0,8,8,0,7,7,0,7,7,0,10,10,0,0,0,0,7,7,0,64,56,8
"125",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,27,15
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,16,16,0,15,15,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,43,40,3
"128",7,7,0,26,25,1,37,36,1,1,1,0,24,23,1,25,24,1,23,22,1,6,6,0,0,0,0,0,0,0,9,9,0,43,42,1,0,0,0,81,69,12
"129",1,1,0,1,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
"130",7,7,0,7,7,0,2,2,0,0,0,0,32,31,1,33,32,1,31,30,1,7,7,0,7,7,0,7,7,0,14,14,0,0,0,0,7,7,0,37,36,1
"131",9,8,1,12,10,2,15,13,2,3,3,0,16,14,2,17,15,2,21,19,2,5,4,1,4,4,0,4,4,0,10,9,1,0,0,0,4,4,0,49,43,6
"132",2,2,0,0,0,0,0,0,0,0,0,0,27,27,0,25,25,0,20,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,14
"133",2,2,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,0,0,0
