"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"1",39,37,2,54,52,2,63,60,3,1,1,0,54,52,2,55,53,2,53,51,2,35,34,1,34,33,1,34,33,1,40,39,1,63,61,2,34,33,1,80,78,2
"2",47,47,0,63,63,0,69,67,2,70,68,2,74,73,1,71,71,0,46,46,0,47,46,1,45,45,0,45,45,0,47,47,0,74,69,5,45,45,0,83,80,3
"3",0,0,0,14,14,0,16,16,0,1,1,0,28,28,0,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,9,9,0,30,29,1,1,0,1,64,61,3
"4",43,41,2,47,45,2,41,37,4,5,4,1,57,55,2,59,57,2,57,55,2,45,43,2,43,41,2,43,41,2,43,42,1,42,41,1,43,41,2,63,59,4
"5",44,43,1,52,50,2,56,54,2,18,16,2,47,46,1,48,47,1,46,45,1,44,43,1,45,44,1,45,44,1,44,43,1,25,25,0,45,44,1,81,70,11
"6",26,25,1,24,22,2,13,12,1,0,0,0,36,35,1,36,35,1,21,21,0,28,26,2,29,27,2,29,27,2,30,29,1,36,33,3,30,28,2,45,43,2
"7",22,22,0,24,24,0,26,25,1,27,27,0,39,39,0,43,43,0,34,34,0,22,22,0,22,22,0,22,22,0,23,23,0,30,29,1,22,22,0,71,68,3
"8",35,32,3,37,35,2,33,31,2,22,22,0,40,36,4,38,35,3,18,17,1,36,33,3,33,32,1,33,32,1,30,30,0,26,26,0,33,32,1,46,41,5
"9",34,34,0,41,41,0,42,41,1,33,32,1,48,46,2,46,45,1,45,44,1,38,37,1,38,37,1,38,37,1,37,36,1,35,34,1,38,37,1,54,50,4
"10",52,48,4,55,54,1,58,57,1,1,1,0,53,50,3,52,49,3,50,48,2,50,47,3,48,45,3,48,45,3,53,51,2,69,58,11,48,45,3,85,71,14
"11",28,27,1,42,41,1,39,37,2,36,32,4,60,59,1,58,58,0,41,41,0,32,31,1,37,36,1,37,36,1,36,36,0,31,29,2,37,36,1,78,75,3
"12",19,19,0,22,20,2,14,13,1,3,3,0,36,35,1,41,40,1,37,37,0,21,21,0,22,22,0,22,22,0,22,22,0,0,0,0,23,23,0,63,57,6
"13",37,36,1,53,53,0,56,56,0,52,52,0,69,68,1,66,66,0,57,57,0,35,34,1,35,34,1,35,34,1,40,38,2,48,48,0,35,34,1,69,69,0
"14",40,40,0,68,63,5,75,70,5,1,1,0,76,73,3,76,73,3,75,73,2,41,41,0,38,38,0,38,38,0,48,47,1,73,70,3,38,38,0,85,81,4
"15",35,35,0,41,41,0,40,40,0,34,32,2,54,51,3,53,50,3,54,50,4,35,35,0,35,35,0,35,35,0,36,35,1,25,25,0,35,35,0,65,59,6
"16",21,21,0,44,39,5,36,31,5,0,0,0,62,60,2,65,63,2,66,64,2,22,22,0,22,22,0,22,22,0,32,30,2,41,39,2,22,22,0,71,68,3
"17",35,32,3,37,31,6,34,30,4,29,26,3,48,48,0,48,48,0,34,34,0,36,33,3,35,32,3,35,32,3,34,31,3,28,27,1,35,32,3,64,62,2
"18",24,23,1,40,39,1,36,34,2,0,0,0,33,32,1,33,32,1,30,30,0,27,26,1,28,27,1,28,27,1,28,27,1,30,29,1,30,28,2,33,33,0
"19",41,41,0,65,62,3,63,62,1,0,0,0,67,66,1,67,66,1,61,60,1,40,40,0,36,36,0,36,36,0,44,44,0,56,51,5,38,38,0,72,71,1
"20",41,41,0,63,63,0,69,67,2,1,1,0,60,56,4,61,57,4,63,59,4,43,42,1,39,38,1,39,38,1,43,43,0,65,62,3,39,38,1,81,76,5
"21",39,39,0,52,51,1,53,52,1,32,32,0,68,64,4,70,66,4,65,61,4,37,37,0,37,37,0,37,37,0,39,39,0,31,31,0,37,37,0,85,80,5
"22",47,46,1,58,56,2,59,57,2,57,53,4,71,71,0,71,71,0,63,63,0,45,43,2,42,41,1,42,41,1,49,48,1,69,66,3,43,42,1,87,87,0
"23",40,40,0,25,24,1,18,17,1,0,0,0,63,61,2,63,61,2,47,47,0,40,40,0,41,40,1,41,40,1,40,39,1,0,0,0,41,40,1,73,65,8
