"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"1",14,13,1,26,24,2,29,27,2,34,33,1,26,26,0,29,29,0,30,30,0,4,4,0,4,4,0,4,4,0,19,17,2,46,44,2,4,4,0,69,67,2
"2",14,14,0,35,35,0,38,38,0,49,47,2,57,56,1,57,56,1,56,55,1,14,14,0,13,13,0,13,13,0,13,13,0,58,54,4,13,13,0,71,69,2
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"4",10,9,1,6,6,0,0,0,0,0,0,0,26,23,3,24,21,3,20,19,1,10,9,1,9,8,1,9,8,1,9,8,1,0,0,0,9,8,1,43,39,4
"5",13,13,0,26,25,1,26,24,2,10,8,2,21,20,1,23,22,1,22,21,1,10,10,0,4,4,0,4,4,0,9,9,0,0,0,0,4,4,0,66,56,10
"6",14,13,1,0,0,0,0,0,0,0,0,0,26,26,0,26,26,0,24,24,0,13,13,0,10,10,0,10,10,0,9,9,0,0,0,0,10,10,0,44,40,4
"7",3,3,0,0,0,0,0,0,0,0,0,0,31,31,0,30,30,0,25,25,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,29,29,0
"8",12,12,0,13,13,0,13,13,0,5,5,0,32,30,2,31,30,1,28,27,1,10,10,0,10,10,0,10,10,0,9,9,0,0,0,0,10,10,0,23,23,0
"9",10,10,0,18,18,0,23,23,0,15,15,0,30,30,0,31,31,0,30,30,0,10,10,0,10,10,0,10,10,0,10,10,0,26,25,1,10,10,0,43,38,5
"10",19,18,1,34,33,1,40,39,1,43,41,2,48,46,2,48,46,2,45,44,1,17,16,1,17,16,1,17,16,1,22,21,1,51,44,7,17,16,1,60,58,2
"11",4,4,0,9,9,0,13,12,1,1,1,0,5,5,0,7,7,0,4,4,0,5,5,0,5,5,0,5,5,0,5,5,0,0,0,0,5,5,0,41,37,4
"12",3,3,0,2,2,0,2,2,0,2,2,0,18,18,0,20,19,1,20,20,0,3,3,0,5,5,0,5,5,0,4,4,0,0,0,0,5,5,0,29,27,2
"13",10,10,0,10,10,0,10,10,0,5,5,0,54,53,1,49,49,0,44,44,0,9,9,0,9,9,0,9,9,0,11,10,1,45,42,3,9,9,0,57,57,0
"14",11,11,0,32,31,1,34,34,0,17,17,0,57,55,2,56,55,1,55,54,1,11,11,0,11,11,0,11,11,0,18,18,0,41,40,1,11,11,0,75,72,3
"15",6,6,0,13,13,0,17,17,0,6,6,0,28,27,1,33,31,2,10,10,0,7,7,0,6,6,0,6,6,0,6,6,0,0,0,0,6,6,0,47,43,4
"16",4,4,0,2,2,0,2,2,0,0,0,0,38,38,0,36,36,0,33,33,0,4,4,0,3,3,0,3,3,0,3,3,0,0,0,0,4,4,0,66,66,0
"17",8,7,1,6,4,2,5,3,2,0,0,0,16,15,1,18,17,1,11,10,1,9,8,1,5,4,1,5,4,1,8,7,1,0,0,0,5,4,1,32,29,3
"18",5,5,0,12,12,0,12,12,0,2,2,0,26,25,1,24,24,0,22,22,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,4,3,1,36,34,2
"19",12,12,0,20,20,0,21,21,0,27,25,2,25,24,1,28,27,1,25,24,1,11,11,0,10,10,0,10,10,0,17,17,0,33,32,1,10,10,0,64,59,5
