"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"198",5,4,1,0,0,0,3,3,0
"199",9,9,0,0,0,0,0,0,0
"200",5,4,1,0,0,0,0,0,0
"201",0,0,0,1,1,0,2,2,0
"202",0,0,0,0,0,0,2,2,0
"203",0,0,0,0,0,0,7,7,0
"204",0,0,0,0,0,0,0,0,0
"205",4,4,0,0,0,0,4,4,0
"206",0,0,0,0,0,0,1,1,0
"207",13,12,1,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0,0
"209",0,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,3,2,1
"211",0,0,0,0,0,0,15,15,0
"212",1,1,0,0,0,0,0,0,0
"213",303,170,133,0,0,0,4,4,0
"214",0,0,0,0,0,0,5,5,0
"215",0,0,0,0,0,0,0,0,0
"216",1,1,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,0
"218",0,0,0,0,0,0,6,5,1
"219",0,0,0,0,0,0,0,0,0
"220",1,1,0,0,0,0,15,14,1
"221",0,0,0,0,0,0,1,1,0
"222",3,3,0,0,0,0,0,0,0
"223",1,1,0,2,2,0,0,0,0
"224",0,0,0,0,0,0,0,0,0
"225",0,0,0,0,0,0,0,0,0
"226",0,0,0,0,0,0,1,1,0
"227",0,0,0,0,0,0,0,0,0
"228",5,5,0,0,0,0,4,3,1
"229",6,6,0,0,0,0,0,0,0
"230",14,14,0,0,0,0,0,0,0
"231",6,6,0,0,0,0,8,7,1
"232",10,10,0,0,0,0,1,0,1
"233",11,10,1,0,0,0,2,2,0
"234",0,0,0,0,0,0,0,0,0
"235",0,0,0,0,0,0,0,0,0
"236",0,0,0,0,0,0,0,0,0
"237",1,1,0,0,0,0,0,0,0
"238",0,0,0,0,0,0,4,4,0
"239",0,0,0,0,0,0,22,21,1
"240",2,2,0,0,0,0,0,0,0
"241",0,0,0,0,0,0,0,0,0
"242",4,4,0,0,0,0,0,0,0
"243",0,0,0,0,0,0,5,5,0
"244",2,2,0,0,0,0,3,3,0
"245",0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,1,1,0
"247",3,3,0,0,0,0,13,13,0
"248",3,3,0,0,0,0,1,1,0
"249",0,0,0,0,0,0,1,1,0
"250",0,0,0,0,0,0,3,3,0
"251",2,2,0,0,0,0,0,0,0
"252",2,2,0,0,0,0,1,1,0
"253",1,1,0,0,0,0,5,5,0
"254",1,1,0,0,0,0,0,0,0
"255",0,0,0,0,0,0,3,3,0
"256",0,0,0,0,0,0,0,0,0
"257",3,3,0,0,0,0,0,0,0
"258",8,8,0,0,0,0,0,0,0
"259",3,3,0,4,4,0,2,1,1
"260",1,1,0,0,0,0,1,1,0
"261",2,2,0,0,0,0,1,1,0
"262",0,0,0,0,0,0,0,0,0
"263",3,2,1,0,0,0,8,7,1
"264",4,3,1,0,0,0,1,1,0
"265",3,3,0,0,0,0,9,9,0
"266",0,0,0,0,0,0,3,3,0
"267",0,0,0,0,0,0,1,1,0
"268",1,1,0,0,0,0,21,21,0
"269",1,1,0,0,0,0,9,8,1
"270",3,3,0,0,0,0,3,3,0
"271",19,19,0,0,0,0,0,0,0
"272",0,0,0,0,0,0,1,0,1
"273",2,2,0,0,0,0,0,0,0
"274",0,0,0,0,0,0,0,0,0
"275",6,6,0,1,1,0,0,0,0
"276",0,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,1,1,0
"278",0,0,0,0,0,0,5,5,0
"279",4,4,0,0,0,0,1,1,0
"280",0,0,0,0,0,0,6,6,0
"281",1,0,1,0,0,0,0,0,0
"282",22,20,2,0,0,0,0,0,0
"283",7,7,0,0,0,0,1,1,0
"284",0,0,0,0,0,0,0,0,0
"285",15,14,1,0,0,0,1,1,0
"286",0,0,0,0,0,0,4,4,0
"287",22,22,0,0,0,0,7,7,0
"288",1,1,0,0,0,0,6,6,0
"289",0,0,0,0,0,0,2,2,0
"290",8,8,0,0,0,0,1,1,0
"291",1,1,0,0,0,0,1,1,0
"292",9,9,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,1,0,1
"294",2,2,0,0,0,0,3,3,0
"295",0,0,0,0,0,0,0,0,0
"296",5,5,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,1,1,0
"298",0,0,0,0,0,0,0,0,0
"299",10,10,0,0,0,0,0,0,0
