"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",3,3,0,0,0,0,2,2,0
"2",21,21,0,0,0,0,4,4,0
"3",14,14,0,0,0,0,80,78,2
"4",0,0,0,0,0,0,64,62,2
"5",15,14,1,0,0,0,0,0,0
"6",19,19,0,0,0,0,2,2,0
"7",27,27,0,0,0,0,0,0,0
"8",16,16,0,0,0,0,5,5,0
"9",32,32,0,0,0,0,76,74,2
"10",44,43,1,0,0,0,44,44,0
"11",2,2,0,0,0,0,0,0,0
"12",12,12,0,7,7,0,1,1,0
"13",6,6,0,0,0,0,4,4,0
"14",15,15,0,0,0,0,0,0,0
"15",40,39,1,0,0,0,0,0,0
"16",4,4,0,0,0,0,80,79,1
"17",9,9,0,0,0,0,0,0,0
"18",21,21,0,0,0,0,0,0,0
"19",16,16,0,0,0,0,35,34,1
"20",19,18,1,0,0,0,35,34,1
"21",14,14,0,0,0,0,0,0,0
"22",24,24,0,0,0,0,24,24,0
"23",2,2,0,1,1,0,0,0,0
"24",12,12,0,0,0,0,17,16,1
"25",13,13,0,0,0,0,91,90,1
"26",1,1,0,0,0,0,0,0,0
"27",9,9,0,0,0,0,5,5,0
"28",3,3,0,0,0,0,68,65,3
"29",8,8,0,0,0,0,88,85,3
"30",9,9,0,0,0,0,0,0,0
"31",13,12,1,0,0,0,0,0,0
"32",2,2,0,0,0,0,1,1,0
"33",12,12,0,0,0,0,0,0,0
"34",21,20,1,0,0,0,0,0,0
"35",9,9,0,0,0,0,0,0,0
"36",7,7,0,1,1,0,0,0,0
"37",21,21,0,0,0,0,0,0,0
"38",9,9,0,0,0,0,0,0,0
"39",10,10,0,0,0,0,0,0,0
"40",16,15,1,0,0,0,0,0,0
"41",19,19,0,0,0,0,0,0,0
"42",29,28,1,0,0,0,6,6,0
"43",1,1,0,1,1,0,0,0,0
"44",4,4,0,0,0,0,4,3,1
"45",7,7,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0
"47",18,18,0,0,0,0,0,0,0
"48",1,1,0,0,0,0,0,0,0
"49",3,3,0,0,0,0,28,28,0
