"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",0,0,0,0,0,0,2,2,0
"2",34,34,0,0,0,0,0,0,0
"3",10,10,0,0,0,0,130,128,2
"4",26,25,1,0,0,0,0,0,0
"5",30,30,0,0,0,0,26,25,1
"6",40,40,0,0,0,0,0,0,0
"7",206,191,15,0,0,0,11,11,0
"8",26,25,1,0,0,0,0,0,0
"9",40,39,1,0,0,0,139,135,4
"10",61,59,2,0,0,0,113,109,4
"11",4,4,0,0,0,0,0,0,0
"12",28,28,0,0,0,0,0,0,0
"13",6,5,1,0,0,0,0,0,0
"14",19,19,0,0,0,0,0,0,0
"15",26,25,1,0,0,0,0,0,0
"16",12,12,0,0,0,0,152,151,1
"17",20,20,0,0,0,0,44,42,2
"18",19,19,0,0,0,0,0,0,0
"19",31,30,1,0,0,0,0,0,0
"20",54,53,1,0,0,0,48,47,1
"21",37,37,0,0,0,0,0,0,0
"22",10,10,0,0,0,0,0,0,0
"23",10,9,1,0,0,0,0,0,0
"24",8,8,0,0,0,0,0,0,0
"25",22,22,0,0,0,0,75,74,1
"26",14,14,0,0,0,0,3,2,1
"27",10,10,0,0,0,0,1,1,0
"28",0,0,0,0,0,0,0,0,0
"29",11,10,1,0,0,0,131,128,3
"30",27,27,0,0,0,0,0,0,0
"31",23,23,0,0,0,0,70,68,2
"32",9,9,0,0,0,0,1,1,0
"33",12,12,0,0,0,0,0,0,0
"34",25,25,0,0,0,0,66,64,2
"35",30,30,0,0,0,0,0,0,0
"36",28,28,0,0,0,0,113,108,5
"37",29,29,0,0,0,0,0,0,0
"38",10,10,0,0,0,0,0,0,0
"39",5,5,0,0,0,0,12,11,1
"40",6,6,0,1,1,0,31,29,2
"41",18,17,1,0,0,0,0,0,0
"42",15,15,0,0,0,0,0,0,0
"43",6,6,0,0,0,0,0,0,0
"44",8,8,0,0,0,0,1,1,0
"45",13,13,0,0,0,0,9,8,1
"46",0,0,0,0,0,0,0,0,0
"47",24,24,0,0,0,0,0,0,0
"48",5,5,0,0,0,0,113,109,4
"49",8,8,0,0,0,0,0,0,0
