"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",53,53,0,106,105,1,230,219,11
"2",22,21,1,136,136,0,315,314,1
"3",2,2,0,14,14,0,179,173,6
"4",1,1,0,0,0,0,202,201,1
"5",30,30,0,0,0,0,207,205,2
"6",217,210,7,107,106,1,30,30,0
"7",0,0,0,0,0,0,201,201,0
"8",81,80,1,14,14,0,253,242,11
"9",2,2,0,13,13,0,209,203,6
"10",90,88,2,85,83,2,283,278,5
"11",0,0,0,0,0,0,214,210,4
"12",7,7,0,0,0,0,338,331,7
"13",177,172,5,1,1,0,271,267,4
"14",0,0,0,55,55,0,284,273,11
"15",117,116,1,51,50,1,294,287,7
"16",163,159,4,139,138,1,234,230,4
"17",25,25,0,0,0,0,329,323,6
"18",0,0,0,90,89,1,140,136,4
"19",2,2,0,142,140,2,313,306,7
"20",0,0,0,9,9,0,238,237,1
"21",131,131,0,0,0,0,275,274,1
"22",204,201,3,135,131,4,317,306,11
"23",71,70,1,227,226,1,279,279,0
"24",0,0,0,37,37,0,212,207,5
"25",0,0,0,0,0,0,294,292,2
"26",0,0,0,84,84,0,238,235,3
"27",0,0,0,0,0,0,351,228,123
"28",358,351,7,154,152,2,377,370,7
"29",0,0,0,0,0,0,288,279,9
"30",0,0,0,0,0,0,166,165,1
"31",42,41,1,43,42,1,229,224,5
"32",0,0,0,0,0,0,364,356,8
"33",31,31,0,73,73,0,194,191,3
"34",2,2,0,0,0,0,226,223,3
"35",0,0,0,0,0,0,172,164,8
"36",24,24,0,68,67,1,109,107,2
"37",3,3,0,86,86,0,169,168,1
"38",0,0,0,0,0,0,133,130,3
"39",157,155,2,108,107,1,302,299,3
"40",2,2,0,12,12,0,227,219,8
"41",0,0,0,0,0,0,247,235,12
"42",0,0,0,178,175,3,223,216,7
"43",41,40,1,17,17,0,227,221,6
"44",2,2,0,2,2,0,143,137,6
"45",15,14,1,31,31,0,224,221,3
"46",39,37,2,99,99,0,252,249,3
"47",6,6,0,14,14,0,210,206,4
"48",22,22,0,94,91,3,205,201,4
"49",33,33,0,12,12,0,218,211,7
"50",0,0,0,145,142,3,243,238,5
"51",1,1,0,24,24,0,174,171,3
"52",0,0,0,162,160,2,247,242,5
"53",0,0,0,0,0,0,266,262,4
"54",0,0,0,114,112,2,307,301,6
"55",3,3,0,0,0,0,298,287,11
"56",81,81,0,164,159,5,269,261,8
"57",137,132,5,26,26,0,175,170,5
"58",1,1,0,0,0,0,243,239,4
"59",0,0,0,0,0,0,220,216,4
"60",0,0,0,28,27,1,284,282,2
"61",59,56,3,150,145,5,344,341,3
"62",65,63,2,0,0,0,81,78,3
"63",9,9,0,0,0,0,177,175,2
"64",2,2,0,82,82,0,178,172,6
