"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",0,0,0,0,0,0,18,17,1
"2",0,0,0,0,0,0,5,5,0
"3",1,1,0,0,0,0,25,24,1
"4",0,0,0,0,0,0,16,16,0
"5",5,4,1,0,0,0,0,0,0
"6",4,4,0,1,0,1,2,2,0
"7",1,1,0,0,0,0,45,45,0
"8",3,3,0,0,0,0,16,16,0
"9",6,6,0,2,2,0,31,31,0
"10",0,0,0,0,0,0,14,13,1
"11",0,0,0,0,0,0,4,4,0
"12",3,3,0,0,0,0,33,32,1
"13",1,1,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,16,15,1
"16",9,8,1,17,16,1,28,27,1
"17",2,2,0,0,0,0,4,4,0
"18",0,0,0,0,0,0,1,1,0
"19",0,0,0,0,0,0,54,52,2
"20",1,1,0,0,0,0,24,22,2
"21",5,5,0,0,0,0,3,3,0
"22",17,17,0,0,0,0,26,26,0
"23",0,0,0,0,0,0,0,0,0
"24",26,24,2,0,0,0,58,55,3
"25",1,1,0,2,2,0,28,28,0
"26",0,0,0,1,1,0,36,34,2
"27",0,0,0,0,0,0,17,17,0
"28",3,3,0,24,22,2,71,69,2
"29",4,4,0,0,0,0,21,20,1
"30",0,0,0,0,0,0,24,23,1
"31",0,0,0,0,0,0,2,2,0
"32",0,0,0,0,0,0,19,18,1
"33",0,0,0,0,0,0,11,8,3
"34",0,0,0,7,6,1,8,8,0
"35",0,0,0,0,0,0,19,19,0
"36",1,1,0,0,0,0,21,21,0
"37",0,0,0,0,0,0,3,2,1
"38",0,0,0,0,0,0,32,31,1
"39",0,0,0,0,0,0,16,15,1
"40",4,3,1,0,0,0,13,13,0
"41",5,5,0,0,0,0,3,3,0
"42",1,1,0,0,0,0,13,13,0
"43",0,0,0,0,0,0,18,18,0
"44",2,2,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0
"46",1,1,0,0,0,0,3,3,0
"47",0,0,0,0,0,0,9,9,0
"48",4,4,0,0,0,0,50,49,1
"49",7,7,0,18,17,1,52,52,0
"50",0,0,0,0,0,0,11,10,1
"51",12,10,2,0,0,0,45,45,0
"52",0,0,0,0,0,0,6,6,0
"53",2,2,0,0,0,0,0,0,0
"54",3,3,0,0,0,0,18,18,0
"55",0,0,0,0,0,0,11,10,1
"56",0,0,0,0,0,0,18,18,0
"57",0,0,0,0,0,0,18,17,1
"58",0,0,0,1,0,1,0,0,0
"59",0,0,0,0,0,0,0,0,0
"60",7,5,2,0,0,0,29,29,0
"61",0,0,0,0,0,0,21,21,0
"62",17,17,0,4,4,0,35,35,0
"63",0,0,0,0,0,0,26,25,1
"64",0,0,0,0,0,0,24,24,0
"65",19,19,0,0,0,0,49,48,1
"66",9,9,0,8,8,0,32,31,1
"67",0,0,0,0,0,0,1,1,0
"68",0,0,0,0,0,0,0,0,0
"69",2,2,0,17,17,0,13,13,0
"70",0,0,0,0,0,0,0,0,0
"71",1,0,1,0,0,0,24,23,1
"72",0,0,0,0,0,0,12,11,1
"73",0,0,0,0,0,0,1,1,0
"74",0,0,0,0,0,0,2,2,0
"75",3,3,0,1,0,1,6,5,1
"76",0,0,0,0,0,0,60,56,4
"77",1,1,0,0,0,0,0,0,0
"78",1,1,0,0,0,0,32,31,1
"79",1,1,0,0,0,0,18,18,0
"80",1,1,0,0,0,0,11,11,0
"81",1,1,0,0,0,0,14,14,0
"82",0,0,0,0,0,0,1,1,0
"83",1,1,0,0,0,0,14,13,1
"84",0,0,0,0,0,0,25,25,0
"85",0,0,0,0,0,0,0,0,0
"86",15,13,2,0,0,0,44,43,1
"87",2,2,0,0,0,0,0,0,0
