"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",52,52,0,0,0,0,254,249,5
"2",10,10,0,0,0,0,160,159,1
"3",0,0,0,3,3,0,29,28,1
"4",3,3,0,0,0,0,170,168,2
"5",21,19,2,60,60,0,175,171,4
"6",8,8,0,72,70,2,190,184,6
"7",0,0,0,0,0,0,140,139,1
"8",5,4,1,26,26,0,152,147,5
"9",39,38,1,0,0,0,193,189,4
"10",56,54,2,60,60,0,243,238,5
"11",0,0,0,0,0,0,143,142,1
"12",0,0,0,0,0,0,207,205,2
"13",170,166,4,2,2,0,206,203,3
"14",6,6,0,53,52,1,228,227,1
"15",7,7,0,45,45,0,226,221,5
"16",0,0,0,0,0,0,21,21,0
"17",128,127,1,30,29,1,204,201,3
"18",6,6,0,0,0,0,96,95,1
"19",26,26,0,127,127,0,244,244,0
"20",0,0,0,4,4,0,129,129,0
"21",48,47,1,117,116,1,251,247,4
"22",202,199,3,122,121,1,231,227,4
"23",10,10,0,130,130,0,150,149,1
"24",0,0,0,0,0,0,58,56,2
"25",0,0,0,0,0,0,111,110,1
"26",2,2,0,46,46,0,185,178,7
"27",0,0,0,0,0,0,16,16,0
"28",301,295,6,118,115,3,353,348,5
"29",4,4,0,0,0,0,220,215,5
"30",1,1,0,12,12,0,41,39,2
"31",67,65,2,55,55,0,220,219,1
"32",2,2,0,1,1,0,257,255,2
"33",64,63,1,7,7,0,259,252,7
"34",4,4,0,43,43,0,40,39,1
"35",5,5,0,0,0,0,57,57,0
"36",50,50,0,119,118,1,102,97,5
"37",0,0,0,5,5,0,142,139,3
"38",0,0,0,155,154,1,48,46,2
"39",1,1,0,65,65,0,232,232,0
"40",10,10,0,9,8,1,198,193,5
"41",0,0,0,0,0,0,141,141,0
"42",18,17,1,129,128,1,126,126,0
"43",16,16,0,0,0,0,137,133,4
"44",4,4,0,0,0,0,130,130,0
"45",4,4,0,0,0,0,143,142,1
"46",22,21,1,5,5,0,201,195,6
"47",2,2,0,2,2,0,113,112,1
"48",34,34,0,58,58,0,138,135,3
"49",35,35,0,25,25,0,202,195,7
"50",22,20,2,139,138,1,186,183,3
"51",5,5,0,4,4,0,136,135,1
"52",0,0,0,0,0,0,83,83,0
"53",38,35,3,66,65,1,220,216,4
"54",1,1,0,92,92,0,277,272,5
"55",37,37,0,0,0,0,229,225,4
"56",11,10,1,87,87,0,195,192,3
"57",2,2,0,1,1,0,86,85,1
"58",7,7,0,7,7,0,173,171,2
"59",17,16,1,0,0,0,102,100,2
"60",0,0,0,0,0,0,276,267,9
"61",12,12,0,18,18,0,247,241,6
"62",0,0,0,0,0,0,50,49,1
"63",0,0,0,0,0,0,123,119,4
"64",3,3,0,22,22,0,117,115,2
"65",19,19,0,1,1,0,146,143,3
"66",4,4,0,0,0,0,203,198,5
"67",1,1,0,0,0,0,219,211,8
"68",0,0,0,54,53,1,174,170,4
"69",19,19,0,78,78,0,234,231,3
"70",2,2,0,0,0,0,197,196,1
"71",5,5,0,0,0,0,2,2,0
"72",16,16,0,0,0,0,31,30,1
"73",0,0,0,1,1,0,132,129,3
"74",3,3,0,1,1,0,268,261,7
"75",42,42,0,0,0,0,122,121,1
"76",1,1,0,80,80,0,188,188,0
"77",173,173,0,172,172,0,281,279,2
"78",9,9,0,6,6,0,156,154,2
"79",24,24,0,33,32,1,206,204,2
"80",37,37,0,12,12,0,157,153,4
"81",3,3,0,17,17,0,242,237,5
"82",16,16,0,62,62,0,219,218,1
"83",26,24,2,22,22,0,261,257,4
"84",18,17,1,50,48,2,285,282,3
"85",44,44,0,83,82,1,247,243,4
"86",22,22,0,0,0,0,216,207,9
"87",2,2,0,101,99,2,240,236,4
"88",17,17,0,0,0,0,140,140,0
"89",6,6,0,0,0,0,142,140,2
"90",191,189,2,153,149,4,285,278,7
"91",0,0,0,0,0,0,69,69,0
"92",34,34,0,107,107,0,209,207,2
"93",1,1,0,4,4,0,71,69,2
"94",5,4,1,0,0,0,152,148,4
"95",2,2,0,0,0,0,137,135,2
"96",28,27,1,86,86,0,240,237,3
"97",0,0,0,83,83,0,291,289,2
"98",0,0,0,0,0,0,263,260,3
"99",9,9,0,18,18,0,190,184,6
"100",18,17,1,56,55,1,153,152,1
"101",35,33,2,39,38,1,51,51,0
"102",5,5,0,4,4,0,137,136,1
"103",10,10,0,67,67,0,47,47,0
"104",25,25,0,100,99,1,140,137,3
"105",15,15,0,81,79,2,189,182,7
"106",4,4,0,0,0,0,52,51,1
"107",11,11,0,0,0,0,130,126,4
"108",0,0,0,2,2,0,77,76,1
"109",9,9,0,114,114,0,173,172,1
"110",0,0,0,15,15,0,334,243,91
"111",0,0,0,40,40,0,38,38,0
"112",68,68,0,131,130,1,320,311,9
"113",0,0,0,0,0,0,117,114,3
"114",188,186,2,104,104,0,242,233,9
"115",1,1,0,0,0,0,244,238,6
"116",17,17,0,1,1,0,86,82,4
"117",0,0,0,0,0,0,67,66,1
"118",58,56,2,60,59,1,243,240,3
"119",0,0,0,0,0,0,133,132,1
"120",0,0,0,0,0,0,58,58,0
"121",13,12,1,9,9,0,137,136,1
"122",1,1,0,0,0,0,138,135,3
"123",0,0,0,0,0,0,41,40,1
"124",1,0,1,0,0,0,166,162,4
"125",4,4,0,0,0,0,28,28,0
"126",2,2,0,0,0,0,114,114,0
"127",12,12,0,0,0,0,231,227,4
"128",49,49,0,16,16,0,208,204,4
"129",0,0,0,0,0,0,70,69,1
"130",9,8,1,0,0,0,89,88,1
"131",3,3,0,0,0,0,91,90,1
"132",15,15,0,128,128,0,255,255,0
"133",1,1,0,21,21,0,169,167,2
"134",49,48,1,87,86,1,168,165,3
"135",0,0,0,0,0,0,54,54,0
"136",1,1,0,0,0,0,254,251,3
"137",88,85,3,14,14,0,350,346,4
"138",24,23,1,0,0,0,61,61,0
"139",14,13,1,81,79,2,239,234,5
"140",0,0,0,0,0,0,170,164,6
"141",1,1,0,0,0,0,252,240,12
"142",12,12,0,15,15,0,138,134,4
"143",1,1,0,1,1,0,131,128,3
"144",34,33,1,0,0,0,138,133,5
"145",3,3,0,64,62,2,183,181,2
"146",4,4,0,0,0,0,121,120,1
"147",2,2,0,64,62,2,162,154,8
"148",0,0,0,11,11,0,124,123,1
"149",8,8,0,0,0,0,31,30,1
"150",0,0,0,13,13,0,168,168,0
"151",108,104,4,47,47,0,231,231,0
"152",27,26,1,54,52,2,235,235,0
"153",7,7,0,0,0,0,157,156,1
"154",10,10,0,0,0,0,230,230,0
